Instance,Original clu. VIG,Original clu. LIG,Original mod. VIG,Original mod. LIG,Original mod. VCG,Original mod. LCG,Allo-GWAE2SAT clu. VIG,Allo-GWAE2SAT clu. LIG,Allo-GWAE2SAT mod. VIG,Allo-GWAE2SAT mod. LIG,Allo-GWAE2SAT mod. VCG,Allo-GWAE2SAT mod. LCG,Auto-GWAE2SAT clu. VIG,Auto-GWAE2SAT clu. LIG,Auto-GWAE2SAT mod. VIG,Auto-GWAE2SAT mod. LIG,Auto-GWAE2SAT mod. VCG,Auto-GWAE2SAT mod. LCG
unsat_tiling_20_102_21063.cnf,0.6768434343434344,0.6768434343434344,0.24047703809184764,0.5780526877892488,0.5209462691326531,0.5550986345995295,"(0.07687693, 0.23334773)","(0.046543222, 0.14229682)","(0.77852523, 0.26151052)","(0.7939359, 0.21369596)","(0.9356414, 0.18702479)","(0.90995264, 0.17079575)","(0.08068502, 0.22563384)","(0.050654948, 0.14539443)","(0.8164401, 0.25891444)","(0.8291588, 0.21896239)","(0.9356805, 0.18617544)","(0.9090179, 0.17057508)"
unsat_tseitin_40_266_90515.cnf,0.4899549062049061,0.4688207638594634,0.4296173469387755,0.4311016695121792,0.6190964485211073,0.5449042652373753,"(0.19269046, 0.27952006)","(0.12255689, 0.21318269)","(0.89221, 0.3134932)","(0.8983736, 0.29880205)","(0.9194744, 0.24796902)","(0.9139336, 0.23052832)","(0.2792104, 0.25261605)","(0.175127, 0.19084556)","(0.88702565, 0.31167635)","(0.8980511, 0.29797453)","(0.91730994, 0.24434051)","(0.89031553, 0.22088613)"
unsat_tiling_20_782_63634.cnf,0.9753078775369796,0.9753078775369793,0.0,0.5,0.41414257257157966,0.4926972967449645,"(0.22115104, 0.27396366)","(0.14148751, 0.22725502)","(0.8928369, 0.3137132)","(0.9006521, 0.2918619)","(0.9288367, 0.2177142)","(0.808561, 0.16831632)","(0.31644297, 0.24059395)","(0.19372517, 0.20405321)","(0.88231325, 0.31005597)","(0.89459264, 0.28905696)","(0.9231008, 0.21474361)","(0.723545, 0.13690731)"
unsat_cliquecoloring_27_131.cnf,0.7324074074074078,0.8745370370370366,0.2431517389966144,0.484733727810651,0.4288163172962296,0.45161972017011687,"(0.07904191, 0.24342589)","(0.050542854, 0.15656382)","(0.8546831, 0.28164214)","(0.8699876, 0.23328039)","(0.9364699, 0.18942675)","(0.9166061, 0.17166246)","(0.08992387, 0.23249891)","(0.057324268, 0.15528417)","(0.8592081, 0.280025)","(0.8733629, 0.23711105)","(0.9360031, 0.1891042)","(0.90924263, 0.17160332)"
sat_5color_100_420_10212.cnf,0.28587662337662295,0.642938311688312,0.5626562500000001,0.7331944444444445,0.733312962962963,0.6275512345679013,"(0.06342681, 0.0881741)","(0.04761918, 0.093748145)","(0.9098075, 0.24097972)","(0.91670716, 0.22060625)","(0.94937974, 0.15344605)","(0.8833102, 0.14456482)","(0.112596214, 0.060137685)","(0.07457379, 0.08401411)","(0.9084713, 0.24618325)","(0.91629755, 0.22382313)","(0.9487252, 0.1520668)","(0.84367526, 0.12674679)"
unsat_matching_80_361_40622.cnf,0.5177123570873572,0.5177123570873573,0.4843080899656649,0.6000323097102735,0.6710353704116235,0.6055808774381252,"(0.059495546, 0.093574986)","(0.052274756, 0.116958804)","(0.9047917, 0.2501074)","(0.91594887, 0.21839418)","(0.94780624, 0.1580937)","(0.91677266, 0.15094583)","(0.100399256, 0.08145117)","(0.070027836, 0.09892475)","(0.9036852, 0.25416976)","(0.9174725, 0.21576832)","(0.94597757, 0.16051778)","(0.8839367, 0.13904242)"
unsat_4clique_32_452_22842.cnf,0.9083792930692265,0.9541896465346129,0.029296875,0.34999999999999987,0.45679030265309156,0.461208638339774,"(0.1305069, 0.2579419)","(0.08263974, 0.18358141)","(0.89044285, 0.3021435)","(0.8950036, 0.2883846)","(0.9361046, 0.19550328)","(0.84019154, 0.16686584)","(0.17065838, 0.23867497)","(0.09968818, 0.16301246)","(0.8912795, 0.3036796)","(0.8975614, 0.28533003)","(0.9354512, 0.19395874)","(0.78717434, 0.14584833)"
unsat_cliquecoloring_30_118.cnf,0.6920581052933997,0.8564865689865687,0.35658402203856754,0.6718476510537001,0.5171166666666667,0.5175836674023693,"(0.06849371, 0.2079789)","(0.0481965, 0.14809237)","(0.83243674, 0.26212206)","(0.84320086, 0.22819138)","(0.93849456, 0.18183936)","(0.90637505, 0.17615233)","(0.07280253, 0.18870825)","(0.05195756, 0.14347796)","(0.8657015, 0.26487446)","(0.8786532, 0.22554077)","(0.93738955, 0.18338764)","(0.90136766, 0.15795083)"
unsat_matching_40_111_28630.cnf,0.48480158730158723,0.4848015873015871,0.5841625906560971,0.713611064260415,0.707922419460881,0.6547172265160524,"(0.043751016, 0.12912133)","(0.041860618, 0.1277298)","(0.8149298, 0.20944047)","(0.8367661, 0.14351308)","(0.9459635, 0.15500025)","(0.9282824, 0.14714268)","(0.04885672, 0.12591146)","(0.045088895, 0.12824823)","(0.8478157, 0.2155998)","(0.87033546, 0.15019669)","(0.9495295, 0.14237267)","(0.9302862, 0.13006516)"
unsat_4clique_52_1174_65351.cnf,0.8920515289952626,0.9460257644976312,0.030742932281393853,0.3656509695290858,0.47200464759902006,0.47515082018872207,"(0.2706495, 0.19300951)","(0.1553028, 0.15485792)","(0.895082, 0.30174857)","(0.8983183, 0.29265538)","(0.9348326, 0.19391048)","(0.7064084, 0.11527927)","(0.3920613, 0.16158938)","(0.21487308, 0.12408836)","(0.8337995, 0.28319973)","(0.8436325, 0.27862203)","(0.8983305, 0.18480082)","(0.59610283, 0.0813284)"
