Instance,Original clu. VIG,Original clu. LIG,Original mod. VIG,Original mod. LIG,Original mod. VCG,Original mod. LCG,STAllo-GWAE2SAT clu. VIG,STAllo-GWAE2SAT clu. LIG,STAllo-GWAE2SAT mod. VIG,STAllo-GWAE2SAT mod. LIG,STAllo-GWAE2SAT mod. VCG,STAllo-GWAE2SAT mod. LCG,STAuto-GWAE2SAT clu. VIG,STAuto-GWAE2SAT clu. LIG,STAuto-GWAE2SAT mod. VIG,STAuto-GWAE2SAT mod. LIG,STAuto-GWAE2SAT mod. VCG,STAuto-GWAE2SAT mod. LCG
unsat_tiling_20_102_21063.cnf,0.6768434343434344,0.6768434343434344,0.24546101815592725,0.5780526877892488,0.5241350446428572,0.5558527217518952,"(0.7486526, 0.031620234)","(0.49330512, 0.04945265)","(0.065851726, 0.0135114575)","(0.21978065, 0.029590806)","(0.4134342, 0.018350849)","(0.43405724, 0.017427785)","(0.75725675, 0.029196443)","(0.51226676, 0.044843007)","(0.064238474, 0.0110904565)","(0.21759483, 0.021412358)","(0.41038364, 0.014203101)","(0.44287866, 0.013664326)"
unsat_tseitin_40_266_90515.cnf,0.4899549062049061,0.4688207638594634,0.420484693877551,0.4277000873203091,0.5864432938554989,0.5442433970733803,"(0.99291915, 0.0041238093)","(0.72606635, 0.011490273)","(0.0, 0.0)","(0.051248975, 0.003706666)","(0.21756253, 0.005420886)","(0.25760883, 0.00435128)","(0.9923385, 0.0028547542)","(0.7231094, 0.0043838434)","(0.0, 0.0)","(0.050348647, 0.0046022874)","(0.21632619, 0.0044853888)","(0.256643, 0.004440516)"
unsat_tiling_20_782_63634.cnf,0.9753078775369796,0.9753078775369793,0.0,0.5,0.4096342284930239,0.4926972967449645,"(1.0, 0.0)","(0.78798956, 0.011045473)","(0.0, 0.0)","(0.06517705, 0.005621203)","(0.31624594, 0.0046344073)","(0.33928284, 0.004278251)","(1.0, 0.0)","(0.7844218, 0.014064982)","(0.0, 0.0)","(0.0688773, 0.004841047)","(0.31416255, 0.0071002454)","(0.33600953, 0.005502612)"
unsat_cliquecoloring_27_131.cnf,0.7324074074074078,0.8745370370370366,0.2431517389966144,0.484733727810651,0.43113095082708996,0.45511539240461746,"(0.7383636, 0.021944935)","(0.49332437, 0.041695345)","(0.06365186, 0.009490288)","(0.19373675, 0.015921222)","(0.38994908, 0.009571794)","(0.41755557, 0.013198708)","(0.72093195, 0.019888297)","(0.49660406, 0.022746002)","(0.07138473, 0.010704432)","(0.19958608, 0.017386934)","(0.39634776, 0.008748633)","(0.42066675, 0.011265016)"
sat_5color_100_420_10212.cnf,0.28587662337662295,0.642938311688312,0.54390625,0.7362152777777778,0.7334888888888889,0.6240796296296295,"(0.28748396, 0.017777594)","(0.3093898, 0.02375758)","(0.2135921, 0.01173916)","(0.30177185, 0.014832123)","(0.51420367, 0.008573746)","(0.48250693, 0.008044392)","(0.29355532, 0.006415889)","(0.3104983, 0.018959764)","(0.21284385, 0.012976012)","(0.29839796, 0.011124521)","(0.5127789, 0.0060122083)","(0.48540297, 0.0064086546)"
unsat_matching_80_361_40622.cnf,0.5177123570873572,0.5177123570873573,0.46565043786890936,0.6051415840438255,0.6611284374149156,0.6202511131203194,"(0.3430559, 0.016220475)","(0.3637744, 0.020309132)","(0.18217315, 0.014126682)","(0.30377394, 0.013233945)","(0.48680282, 0.0076921037)","(0.47921824, 0.009480722)","(0.34558547, 0.0074962913)","(0.3543982, 0.020560704)","(0.17873633, 0.0060508084)","(0.2948408, 0.009759563)","(0.49024835, 0.005892468)","(0.48368597, 0.0077377893)"
unsat_4clique_32_452_22842.cnf,0.9083792930692265,0.9541896465346129,0.029296875,0.3499999999999999,0.4567572086801427,0.46066461987217594,"(0.85050833, 0.012281198)","(0.60817647, 0.029637279)","(0.028207937, 0.0059925322)","(0.082507, 0.005442339)","(0.3817664, 0.004604345)","(0.37202114, 0.007327218)","(0.85310507, 0.019811666)","(0.5878333, 0.036119945)","(0.031321477, 0.0062999534)","(0.07758366, 0.005376949)","(0.38628644, 0.006095725)","(0.37434855, 0.009063599)"
unsat_cliquecoloring_30_118.cnf,0.6920581052933997,0.8564865689865687,0.35658402203856754,0.6718476510537001,0.5130722222222223,0.5169643259312644,"(0.6394081, 0.025309399)","(0.46236053, 0.03853863)","(0.09813806, 0.012666979)","(0.2232467, 0.012911504)","(0.42015046, 0.0069337464)","(0.42636746, 0.01122464)","(0.6358169, 0.017673338)","(0.48448434, 0.027942086)","(0.09729091, 0.013674673)","(0.23762766, 0.01627907)","(0.4185628, 0.009841518)","(0.42214027, 0.017253945)"
unsat_matching_40_111_28630.cnf,0.48480158730158723,0.4848015873015871,0.5860178782256704,0.7143700455388767,0.7034480239608445,0.6580335909631391,"(0.4532431, 0.038591)","(0.3952722, 0.033864126)","(0.22331421, 0.023037083)","(0.4155746, 0.036019508)","(0.5273382, 0.009569568)","(0.5145316, 0.011262042)","(0.4248652, 0.043947276)","(0.38447547, 0.048178893)","(0.22004691, 0.019025225)","(0.42793098, 0.029358929)","(0.5307684, 0.014234769)","(0.52601, 0.010792907)"
unsat_4clique_52_1174_65351.cnf,0.8920515289952626,0.9460257644976312,0.027195558477609766,0.3656509695290858,0.4719728386707083,0.4750489312161903,"(0.8432091, 0.011423744)","(0.6027727, 0.02818185)","(0.03052834, 0.0035748887)","(0.059178066, 0.0040641045)","(0.376913, 0.004366955)","(0.36967638, 0.005706349)","(0.8383733, 0.010464508)","(0.5876257, 0.020687252)","(0.031293806, 0.0039042847)","(0.060215563, 0.004207536)","(0.37866133, 0.004978585)","(0.37222382, 0.0041485485)"
