Instance,Allo-GWAE2SAT clu. VIG,Allo-GWAE2SAT clu. LIG,Allo-GWAE2SAT mod. VIG,Allo-GWAE2SAT mod. LIG,Allo-GWAE2SAT mod. VCG,Allo-GWAE2SAT mod. LCG,Auto-GWAE2SAT clu. VIG,Auto-GWAE2SAT clu. LIG,Auto-GWAE2SAT mod. VIG,Auto-GWAE2SAT mod. LIG,Auto-GWAE2SAT mod. VCG,Auto-GWAE2SAT mod. LCG
unsat_tiling_20_102_21063.cnf,"(0.5412625, 0.040189005)","(0.3323589, 0.021439709)","(0.79466563, 0.030083684)","(0.8721615, 0.033089396)","(0.86997205, 0.014870782)","(0.7354769, 0.018600091)","(0.56085134, 0.038109772)","(0.33649325, 0.023118034)","(0.80396414, 0.04039149)","(0.8793958, 0.034249153)","(0.8761021, 0.017510274)","(0.7413046, 0.019293329)"
unsat_tseitin_40_266_90515.cnf,"(0.31714833, 0.012522769)","(0.43725604, 0.0060186577)","(0.20797949, 0.006737647)","(0.36973572, 0.007198256)","(0.40883547, 0.0047071916)","(0.40569606, 0.005142127)","(0.31628245, 0.0084816655)","(0.41534328, 0.012349112)","(0.19744682, 0.007829379)","(0.35029703, 0.0070306137)","(0.39787656, 0.0042437036)","(0.39647865, 0.0031704118)"
unsat_tiling_20_782_63634.cnf,"(0.23062041, 0.010081543)","(0.26522583, 0.0154014705)","(0.29023165, 0.007962765)","(0.37486857, 0.009657063)","(0.55778706, 0.0036564935)","(0.50636065, 0.0061973287)","(0.21841435, 0.00810432)","(0.261339, 0.012150787)","(0.27431372, 0.006370137)","(0.35680392, 0.0074887658)","(0.55227125, 0.0044617886)","(0.500839, 0.00513527)"
unsat_cliquecoloring_27_131.cnf,"(0.56108034, 0.025743756)","(0.3784503, 0.020508831)","(0.6937741, 0.029013349)","(0.80753595, 0.033096213)","(0.8023208, 0.012858442)","(0.6831671, 0.0130321765)","(0.54506224, 0.020089164)","(0.37490952, 0.01761488)","(0.68332684, 0.022867667)","(0.8066891, 0.026566714)","(0.78847617, 0.011614012)","(0.6689169, 0.017132573)"
sat_5color_100_420_10212.cnf,"(0.3475509, 0.018997751)","(0.2764364, 0.0125624575)","(0.45177418, 0.009827609)","(0.54227054, 0.0129178045)","(0.6591197, 0.006676941)","(0.5208316, 0.0075227725)","(0.31947002, 0.014723949)","(0.2658365, 0.009979858)","(0.42914337, 0.014353707)","(0.5240241, 0.013781723)","(0.64525735, 0.008081125)","(0.5196195, 0.0073192217)"
unsat_matching_80_361_40622.cnf,"(0.36309785, 0.019261556)","(0.3283189, 0.014182558)","(0.47488517, 0.01150112)","(0.6161896, 0.012238515)","(0.6730868, 0.0050622723)","(0.55920553, 0.0060834195)","(0.348684, 0.018739406)","(0.32564265, 0.013921316)","(0.4493811, 0.0111310575)","(0.5910448, 0.017466744)","(0.6579383, 0.006034888)","(0.552607, 0.0066936724)"
unsat_4clique_32_452_22842.cnf,"(0.33032364, 0.015119838)","(0.20341961, 0.006744059)","(0.44575882, 0.011630042)","(0.4813177, 0.0143081965)","(0.6568347, 0.007514177)","(0.47802123, 0.010492332)","(0.33053648, 0.011979317)","(0.20679955, 0.008951116)","(0.42447978, 0.011965467)","(0.45604736, 0.01613007)","(0.64262885, 0.007540873)","(0.47456855, 0.006060439)"
unsat_cliquecoloring_30_118.cnf,"(0.5552581, 0.043384578)","(0.3578462, 0.020571716)","(0.7209441, 0.030812137)","(0.81885684, 0.025606265)","(0.81908166, 0.0147859715)","(0.6774143, 0.016003171)","(0.5680469, 0.040027086)","(0.36312345, 0.016789494)","(0.70168895, 0.030720383)","(0.7990368, 0.028577363)","(0.81335145, 0.009461723)","(0.67481697, 0.013943427)"
unsat_matching_40_111_28630.cnf,"(0.51701593, 0.031144178)","(0.31328934, 0.01793555)","(0.8213495, 0.03408966)","(0.89406043, 0.028520241)","(0.88872623, 0.013459813)","(0.7651812, 0.0070737996)","(0.5095234, 0.05597098)","(0.31492823, 0.0320536)","(0.8048668, 0.034595996)","(0.88436586, 0.031775463)","(0.8737968, 0.01868127)","(0.7595786, 0.019377373)"
unsat_4clique_52_1174_65351.cnf,"(0.19125463, 0.0035956868)","(0.15203711, 0.006753294)","(0.23274317, 0.003129682)","(0.24967933, 0.0052397475)","(0.5297191, 0.002690989)","(0.45563984, 0.0021409066)","(0.1930791, 0.00432353)","(0.15437694, 0.0064681945)","(0.21895385, 0.006959483)","(0.239992, 0.007299976)","(0.52007425, 0.0053356043)","(0.45206714, 0.006565153)"
