Instance,Original clu. VIG,Original clu. LIG,Original mod. VIG,Original mod. LIG,Original mod. VCG,Original mod. LCG,EGNN2S clu. VIG,EGNN2S clu. LIG,EGNN2S mod. VIG,EGNN2S mod. LIG,EGNN2S mod. VCG,EGNN2S mod. LCG,G2SAT clu. VIG,G2SAT clu. LIG,G2SAT mod. VIG,G2SAT mod. LIG,G2SAT mod. VCG,G2SAT mod. LCG,Small-Allo-GWAE2SAT clu. VIG,Small-Allo-GWAE2SAT clu. LIG,Small-Allo-GWAE2SAT mod. VIG,Small-Allo-GWAE2SAT mod. LIG,Small-Allo-GWAE2SAT mod. VCG,Small-Allo-GWAE2SAT mod. LCG,Big-Allo-GWAE2SAT clu. VIG,Big-Allo-GWAE2SAT clu. LIG,Big-Allo-GWAE2SAT mod. VIG,Big-Allo-GWAE2SAT mod. LIG,Big-Allo-GWAE2SAT mod. VCG,Big-Allo-GWAE2SAT mod. LCG,Small-Auto-GWAE2SAT clu. VIG,Small-Auto-GWAE2SAT clu. LIG,Small-Auto-GWAE2SAT mod. VIG,Small-Auto-GWAE2SAT mod. LIG,Small-Auto-GWAE2SAT mod. VCG,Small-Auto-GWAE2SAT mod. LCG,Big-Auto-GWAE2SAT clu. VIG,Big-Auto-GWAE2SAT clu. LIG,Big-Auto-GWAE2SAT mod. VIG,Big-Auto-GWAE2SAT mod. LIG,Big-Auto-GWAE2SAT mod. VCG,Big-Auto-GWAE2SAT mod. LCG
unsat_5clique_65_1825_50315.cnf,0.888801498919222,0.9444007494596112,0.035187024513947576,0.3155709342560553,0.47754928689938286,0.47948204363290675,"(0.6995667, 0.0061260383)","(0.6956576, 0.006063362)","(0.6583103, 0.009029552)","(0.65729034, 0.008147437)","(0.50212353, 0.009117418)","(0.50122046, 0.0067950143)","(0.67299855, 0.011735973)","(0.5233784, 0.04097791)","(0.29253978, 0.01267845)","(0.34850863, 0.010174804)","(0.63828254, 0.007124158)","(0.6309617, 0.008332491)","(0.18463726, 0.004898346)","(0.15984884, 0.0074057532)","(0.17145278, 0.0050233575)","(0.18559942, 0.0023284212)","(0.4848063, 0.0029076072)","(0.43689007, 0.002067455)","(0.26505908, 0.07331193)","(0.17639154, 0.028643934)","(0.25083566, 0.027413514)","(0.26287168, 0.028178176)","(0.43023425, 0.0017193847)","(0.32917112, 0.0015855108)","(0.18491353, 0.005113938)","(0.15653184, 0.0063666548)","(0.17428079, 0.004062482)","(0.18673167, 0.003194174)","(0.48603025, 0.0031925044)","(0.43798333, 0.0021494443)","(0.2658139, 0.07402768)","(0.17890087, 0.027679993)","(0.25197786, 0.029413573)","(0.2658361, 0.028524159)","(0.43067533, 0.0018790694)","(0.32999992, 0.0015790545)"
sat_php_229_953_65845.cnf,0.591013885898973,1.0,0.4587181329145644,0.9432247986902336,0.8558231477289875,0.785114999426079,"(0.40410334, 0.0034701913)","(0.3962549, 0.0039877575)","(0.69400424, 0.0009709387)","(0.6735085, 0.003022963)","(0.41985732, 0.0051932144)","(0.41479176, 0.005143488)","(0.54243845, 0.009265831)","(0.36666432, 0.007221286)","(0.25492907, 0.0073887515)","(0.6089326, 0.0066156574)","(0.5711347, 0.0034262952)","(0.6083043, 0.0034527695)","(0.20057476, 0.0072016804)","(0.25890765, 0.01071787)","(0.24619326, 0.006466076)","(0.32332784, 0.004269883)","(0.5309393, 0.0025019755)","(0.49053583, 0.0037172947)","(0.40605387, 0.13174988)","(0.3219915, 0.062103312)","(0.46155548, 0.045629013)","(0.55460787, 0.03681574)","(0.63759094, 0.0048789717)","(0.5227253, 0.008026191)","(0.20549896, 0.0059280135)","(0.26205367, 0.005791892)","(0.24873812, 0.0066161347)","(0.3233004, 0.004606071)","(0.53163034, 0.004628356)","(0.49355048, 0.004136127)","(0.40572143, 0.12967163)","(0.32388827, 0.055932567)","(0.46008283, 0.04623901)","(0.55291235, 0.037452377)","(0.63725257, 0.003990836)","(0.5242785, 0.0069470596)"
unsat_dominating_80_1810_98166.cnf,0.7129044298122107,0.8420437350561751,0.23616069050029304,0.34766003227541675,0.5165613437969707,0.5170548886660876,"(0.7521334, 0.0020452836)","(0.74375623, 0.0016871897)","(0.68488723, 0.0013887389)","(0.68401957, 0.0013544235)","(0.5336946, 0.0058033657)","(0.53007996, 0.0050621354)","(0.77835804, 0.024728533)","(0.5619154, 0.03605946)","(0.4030218, 0.015376203)","(0.4923454, 0.01675984)","(0.7152175, 0.006077628)","(0.69102305, 0.006730094)","(0.18662974, 0.0042763203)","(0.24356978, 0.015874693)","(0.17212789, 0.0044426625)","(0.2117049, 0.0071138227)","(0.4860801, 0.0033490022)","(0.46092924, 0.003846924)","(0.26681307, 0.072280355)","(0.2613979, 0.018603364)","(0.2502196, 0.02776099)","(0.2918187, 0.02711298)","(0.43034086, 0.0016902443)","(0.3552491, 0.0035949952)","(0.18457925, 0.004724451)","(0.24146572, 0.013517474)","(0.17451198, 0.0060237637)","(0.21202521, 0.0056510917)","(0.4878134, 0.0031172521)","(0.46169916, 0.0023977978)","(0.26583308, 0.07014646)","(0.2608288, 0.017449735)","(0.24992704, 0.027393969)","(0.29209283, 0.027001435)","(0.4295844, 0.0013449885)","(0.3550914, 0.0041026874)"
unsat_tiling_20_102_21063.cnf,0.6768434343434344,0.6768434343434344,0.24047703809184764,0.5780526877892488,0.5240553252551019,0.5546461823081099,"(0.861539, 0.00874447)","(0.8033444, 0.01468308)","(0.4022913, 0.018587224)","(0.386671, 0.02304395)","(0.48171768, 0.013285394)","(0.4719588, 0.023203112)","(0.61366665, 0.05033101)","(0.587, 0.03893489)","(0.5770175, 0.032692123)","(0.8186184, 0.01781187)","(0.7032462, 0.012873937)","(0.6845789, 0.017975828)","(0.53638375, 0.03294881)","(0.32309708, 0.022447277)","(0.8191446, 0.030387154)","(0.88845396, 0.025940537)","(0.8827742, 0.013380491)","(0.7387356, 0.026770102)","(0.4744223, 0.45757037)","(0.24768853, 0.23633584)","(0.9177327, 0.047141515)","(0.94547117, 0.022273475)","(0.96495926, 0.008347324)","(0.9144212, 0.018467786)","(0.550915, 0.043120485)","(0.33142954, 0.023532119)","(0.7886685, 0.028787887)","(0.86547023, 0.024185207)","(0.8685711, 0.01188858)","(0.7333579, 0.015306668)","(0.46515113, 0.45597976)","(0.24384913, 0.23836903)","(0.9241934, 0.04005472)","(0.9488729, 0.023387557)","(0.9670919, 0.008250059)","(0.91414607, 0.017575469)"
sat_php_225_920_5668.cnf,0.5910005155192172,1.0,0.6262041037685109,0.9430002868514467,0.8542616316258274,0.7811738332506382,"(0.4184195, 0.0020287302)","(0.40784255, 0.0019896838)","(0.71841633, 0.001378547)","(0.6992694, 0.0026440565)","(0.42585534, 0.008250299)","(0.4200325, 0.0068027396)","(0.25036234, 0.012071813)","(0.31065354, 0.02483113)","(0.5894321, 0.012816182)","(0.68002015, 0.013982315)","(0.71166974, 0.0037039288)","(0.6645797, 0.00702292)","(0.20999067, 0.006008525)","(0.2693326, 0.017940694)","(0.2520483, 0.0085042855)","(0.32891494, 0.0069617527)","(0.5363606, 0.0048553892)","(0.49630713, 0.0039908895)","(0.41325158, 0.14206424)","(0.32207337, 0.06501707)","(0.4728346, 0.047152255)","(0.5687838, 0.03893699)","(0.6482866, 0.0052182097)","(0.53581583, 0.00775058)","(0.20761284, 0.0060040257)","(0.2671314, 0.012176075)","(0.25160748, 0.004506844)","(0.33090395, 0.0059994706)","(0.5326117, 0.003250821)","(0.49316138, 0.0037034892)","(0.4098761, 0.14359628)","(0.3214522, 0.06414296)","(0.47236308, 0.052883953)","(0.5648122, 0.04300362)","(0.64895433, 0.0054813055)","(0.53766084, 0.0071541267)"
unsat_dominating_80_1809_31472.cnf,0.7077635393559178,0.8094541621226587,0.18863579333456848,0.29166095020461347,0.5098599301836517,0.5114044086217573,"(0.7483486, 0.0029471524)","(0.74032915, 0.0029195875)","(0.6828538, 0.0016788833)","(0.6817099, 0.0018329291)","(0.53233975, 0.0046936446)","(0.5314443, 0.00583918)","(0.74758637, 0.025941221)","(0.5690378, 0.058391046)","(0.396721, 0.009747407)","(0.49278706, 0.015187221)","(0.7159065, 0.0038272203)","(0.7006564, 0.006310893)","(0.18327305, 0.004171293)","(0.22321138, 0.010129691)","(0.17216426, 0.005156847)","(0.20618853, 0.0046644136)","(0.48781925, 0.0022995344)","(0.4563802, 0.0023444348)","(0.26777244, 0.07128515)","(0.24221592, 0.020441009)","(0.25245935, 0.026588323)","(0.28994703, 0.026015434)","(0.43306142, 0.0014359342)","(0.35168332, 0.0033421486)","(0.18323514, 0.0044442657)","(0.22398825, 0.011548425)","(0.17438634, 0.0031982686)","(0.2059967, 0.005419931)","(0.48760256, 0.0027871525)","(0.45822567, 0.0040503778)","(0.26823288, 0.07156589)","(0.2405396, 0.021199398)","(0.2524576, 0.027104672)","(0.2876242, 0.02701502)","(0.4319787, 0.0018095936)","(0.35034332, 0.0016163839)"
unsat_php_94_857_1462.cnf,0.6984925240244381,1.0,0.6243199301123541,0.8621048800019411,0.7580530765647714,0.7293158539956184,"(0.5078949, 0.0038411454)","(0.5037637, 0.0038796782)","(0.46322703, 0.004822786)","(0.45615762, 0.0047611916)","(0.38307348, 0.0062095565)","(0.3833774, 0.0033438385)","(0.56085074, 0.010988667)","(0.45004153, 0.027077302)","(0.5981554, 0.004502612)","(0.65055794, 0.0071360474)","(0.66694784, 0.0049226084)","(0.64925385, 0.006411463)","(0.2192291, 0.003796491)","(0.19779527, 0.010369443)","(0.2868116, 0.00909005)","(0.33295676, 0.008344563)","(0.56516147, 0.00650002)","(0.4836606, 0.00574662)","(0.43469945, 0.16760983)","(0.26939148, 0.08046095)","(0.53847086, 0.061245553)","(0.5901801, 0.051552497)","(0.700921, 0.008137024)","(0.54077685, 0.011397088)","(0.22076277, 0.010799963)","(0.19988865, 0.012572008)","(0.29052693, 0.0055965735)","(0.3392635, 0.006477299)","(0.5668732, 0.006068372)","(0.4868198, 0.00416007)","(0.4329791, 0.16648856)","(0.26735443, 0.081931315)","(0.53846014, 0.056647547)","(0.58477515, 0.052065384)","(0.70190966, 0.0061794035)","(0.5373972, 0.007999149)"
unsat_tseitin_40_266_90515.cnf,0.4899549062049061,0.4688207638594634,0.43209183673469387,0.43514186292014756,0.5862639647751899,0.5465708231981031,"(0.7288938, 0.0036944924)","(0.7279233, 0.007363824)","(0.13043684, 0.0055073597)","(0.15203002, 0.005858624)","(0.24129364, 0.007615053)","(0.25932297, 0.010086066)","(0.87182474, 0.01726908)","(0.90899926, 0.021245623)","(0.62758976, 0.018195156)","(0.8196813, 0.013966831)","(0.63259906, 0.0076322276)","(0.6826288, 0.008084819)","(0.31203637, 0.00822355)","(0.4336861, 0.008656068)","(0.20769782, 0.0052555418)","(0.3681022, 0.009528706)","(0.4076953, 0.0046187895)","(0.40512696, 0.0040296456)","(0.44373545, 0.3174095)","(0.37516275, 0.185039)","(0.4336483, 0.14394903)","(0.6236037, 0.14044048)","(0.66277796, 0.029886076)","(0.7084677, 0.07697791)","(0.3168524, 0.0065380842)","(0.42766157, 0.012039824)","(0.20748839, 0.0044863853)","(0.3670804, 0.0057950546)","(0.4073885, 0.0034526454)","(0.4020934, 0.005525148)","(0.44364414, 0.31695256)","(0.37714392, 0.18405508)","(0.43623704, 0.14568993)","(0.6278768, 0.143541)","(0.66485155, 0.029697064)","(0.7129773, 0.07852889)"
unsat_tiling_20_782_63634.cnf,0.9753078775369796,0.9753078775369793,0.0,0.5,0.4097168840507836,0.49275218482161726,"(0.93124086, 0.002582884)","(0.91828597, 0.0022590377)","(0.719343, 0.0040021776)","(0.7009323, 0.0075915433)","(0.5511832, 0.0062332265)","(0.5492972, 0.006232538)","(0.77515477, 0.013643118)","(0.7337917, 0.027488455)","(0.40462127, 0.02080934)","(0.75006914, 0.014132474)","(0.68188745, 0.0046750964)","(0.72787416, 0.0052085184)","(0.2253139, 0.008520656)","(0.25972772, 0.014294224)","(0.2919464, 0.01092834)","(0.37367943, 0.006331348)","(0.55970037, 0.006531949)","(0.5000993, 0.0049761217)","(0.44154972, 0.18967193)","(0.31324148, 0.08777855)","(0.54612404, 0.06452791)","(0.636552, 0.04990972)","(0.709175, 0.0072086398)","(0.588485, 0.0099560525)","(0.22457568, 0.010547447)","(0.25407773, 0.018710628)","(0.2899577, 0.009009826)","(0.36696288, 0.0074261916)","(0.56029576, 0.0070500323)","(0.49987835, 0.005517461)","(0.44585982, 0.18536317)","(0.3125351, 0.08956733)","(0.5452842, 0.0677452)","(0.63647366, 0.056990653)","(0.71129996, 0.01067746)","(0.59115297, 0.012884495)"
unsat_5clique_65_1955_30435.cnf,0.941838495713382,0.9709192478566914,0.020938330046022274,0.29999999999999993,0.4778457785573327,0.47875429554630755,"(0.634007, 0.0040085483)","(0.63110065, 0.0036267047)","(0.53274906, 0.007760451)","(0.5329114, 0.0073734997)","(0.4601516, 0.014296016)","(0.4633166, 0.010451491)","(1.0, 0.0)","(0.94677484, 0.0032525272)","(0.0, 0.0)","(0.49842006, 0.00019896138)","(0.17715903, 0.0008055843)","(0.304555, 0.0012348184)","(0.18703361, 0.0028753115)","(0.15869498, 0.006768149)","(0.16618457, 0.0043811295)","(0.17660394, 0.0033885154)","(0.47972393, 0.0029309758)","(0.4331426, 0.0031094411)","(0.25529996, 0.08896728)","(0.1746935, 0.03183024)","(0.2274363, 0.036254928)","(0.23830545, 0.036725212)","(0.4079925, 0.0010432622)","(0.32853252, 0.004298355)","(0.18581995, 0.0036267035)","(0.15575883, 0.00572293)","(0.16540442, 0.0039627813)","(0.17847891, 0.0051771915)","(0.48120648, 0.003255819)","(0.4364604, 0.0032719932)","(0.25372756, 0.088324815)","(0.172114, 0.032003246)","(0.22554576, 0.03536712)","(0.23766217, 0.036824703)","(0.4096984, 0.001789273)","(0.32658616, 0.002456828)"
