Instance,W2SAT clu. VIG,W2SAT clu. LIG,W2SAT mod. VIG,W2SAT mod. LIG,W2SAT mod. VCG,W2SAT mod. LCG
unsat_5clique_65_1825_50315.cnf,,,,,,
sat_php_229_953_65845.cnf,,,,,,
unsat_dominating_80_1810_98166.cnf,,,,,,
unsat_tiling_20_102_21063.cnf,"(0.67311007, 0.03783621)","(0.53174686, 0.026530623)","(0.21381375, 0.016740456)","(0.55633247, 0.013652601)","(0.46837482, 0.015738513)","(0.55430615, 0.019072639)"
sat_php_225_920_5668.cnf,,,,,,
unsat_dominating_80_1809_31472.cnf,"(0.5770918, 0.0076062046)","(0.59839857, 0.01439824)","(0.1525919, 0.0052999356)","(0.33154252, 0.009508374)","(0.47260857, 0.002958157)","(0.541087, 0.004979795)"
unsat_php_94_857_1462.cnf,"(0.5296263, 0.010563585)","(0.51519716, 0.01768433)","(0.5321584, 0.007402195)","(0.7560221, 0.007917827)","(0.66222346, 0.0060768677)","(0.7316412, 0.0040165256)"
unsat_tseitin_40_266_90515.cnf,"(0.5537461, 0.032950364)","(0.47827324, 0.031424724)","(0.39936393, 0.019778335)","(0.44049707, 0.015590267)","(0.59946, 0.012807173)","(0.5561587, 0.008932553)"
unsat_tiling_20_782_63634.cnf,"(1.0, 0.0)","(0.97250336, 0.004348857)","(0.0, 0.0)","(0.49906832, 0.00131523)","(0.32201332, 0.004434057)","(0.48041588, 0.0013974567)"
unsat_5clique_65_1955_30435.cnf,,,,,,
unsat_matching_80_356_51040.cnf,"(0.3976818, 0.00824293)","(0.35804686, 0.010076487)","(0.3980171, 0.013204681)","(0.565055, 0.009421491)","(0.61726385, 0.008801929)","(0.602091, 0.009095408)"
unsat_cliquecoloring_27_131.cnf,"(0.6785118, 0.060678795)","(0.5950626, 0.08163774)","(0.13869071, 0.023932023)","(0.38247067, 0.034329478)","(0.3640173, 0.014730815)","(0.37523374, 0.01952831)"
sat_5color_100_420_10212.cnf,"(0.31546813, 0.008769028)","(0.57772857, 0.00801061)","(0.5079858, 0.009077653)","(0.6903881, 0.0073817773)","(0.7053588, 0.0075018853)","(0.6464102, 0.005488551)"
