Instance,Small-Total-GVAE clu. VIG,Small-Total-GVAE clu. LIG,Small-Total-GVAE mod. VIG,Small-Total-GVAE mod. LIG,Small-Total-GVAE mod. VCG,Small-Total-GVAE mod. LCG
unsat_5clique_65_1825_50315.cnf,"(0.18493477, 0.0027757338)","(0.15688828, 0.007944022)","(0.1753574, 0.003856033)","(0.18678266, 0.0038243225)","(0.485843, 0.0027617293)","(0.43785256, 0.002536592)"
sat_php_229_953_65845.cnf,"(0.20441885, 0.004424988)","(0.2682869, 0.010385509)","(0.24572475, 0.005835304)","(0.3203948, 0.007982958)","(0.5296823, 0.0034605588)","(0.49113113, 0.0063844514)"
unsat_dominating_80_1810_98166.cnf,"(0.18592143, 0.0033955406)","(0.24307983, 0.00876093)","(0.17248444, 0.0043208194)","(0.20977184, 0.0038676024)","(0.4845933, 0.0031801302)","(0.45829654, 0.0024409306)"
unsat_tiling_20_102_21063.cnf,"(0.57043725, 0.026298054)","(0.33928293, 0.009801465)","(0.8155257, 0.037287995)","(0.8839823, 0.027177837)","(0.8800623, 0.022339033)","(0.7332848, 0.014338291)"
sat_php_225_920_5668.cnf,"(0.20809487, 0.009210646)","(0.2595877, 0.021471206)","(0.25166446, 0.005001871)","(0.32946908, 0.0071394932)","(0.53257823, 0.003834028)","(0.49247974, 0.0068491357)"
unsat_dominating_80_1809_31472.cnf,"(0.18324289, 0.0042067203)","(0.22120552, 0.012394908)","(0.17322774, 0.0046560448)","(0.20785424, 0.00493542)","(0.49000102, 0.003890166)","(0.45800537, 0.0034519155)"
unsat_php_94_857_1462.cnf,"(0.21531706, 0.009825986)","(0.19602613, 0.010219843)","(0.28649563, 0.0043893964)","(0.33442396, 0.00679872)","(0.5674752, 0.004859294)","(0.4865531, 0.0043731974)"
unsat_tseitin_40_266_90515.cnf,"(0.31441516, 0.0049180654)","(0.43438488, 0.007914711)","(0.20699492, 0.005306071)","(0.371615, 0.0052063344)","(0.40820923, 0.004568914)","(0.40267706, 0.004488134)"
unsat_tiling_20_782_63634.cnf,"(0.22521015, 0.008887299)","(0.2640964, 0.013846028)","(0.2889051, 0.005757141)","(0.37007344, 0.0055655497)","(0.5603251, 0.005474754)","(0.5016879, 0.0048117563)"
unsat_5clique_65_1955_30435.cnf,"(0.18373743, 0.00476896)","(0.15488473, 0.0053681205)","(0.16406874, 0.0041096057)","(0.17576298, 0.0035496901)","(0.47957206, 0.0022711952)","(0.43627962, 0.002947841)"
unsat_matching_80_356_51040.cnf,"(0.37800562, 0.016117774)","(0.33356094, 0.016863286)","(0.4779318, 0.012634586)","(0.61590445, 0.014393708)","(0.674681, 0.0076145246)","(0.55460155, 0.010145785)"
unsat_cliquecoloring_27_131.cnf,"(0.53656244, 0.025029618)","(0.37041622, 0.021665884)","(0.6809331, 0.02062249)","(0.80044955, 0.018069401)","(0.79507816, 0.0131193)","(0.67347354, 0.014989845)"
sat_5color_100_420_10212.cnf,"(0.34792352, 0.022880403)","(0.2755395, 0.015418764)","(0.4483164, 0.012505078)","(0.5481303, 0.016451422)","(0.65997016, 0.005776187)","(0.5223905, 0.0072513674)"
unsat_matching_80_361_40622.cnf,"(0.35448307, 0.012542295)","(0.3193174, 0.008538147)","(0.47276765, 0.009875492)","(0.62378234, 0.009182661)","(0.67678845, 0.006854402)","(0.56001794, 0.0058901096)"
unsat_4clique_32_452_22842.cnf,"(0.33378547, 0.018262519)","(0.20671844, 0.009750305)","(0.45077634, 0.011698345)","(0.4843937, 0.014009469)","(0.6649191, 0.007337645)","(0.4799737, 0.006755067)"
sat_matching_160_1285_40622.cnf,"(0.19022368, 0.0032492548)","(0.28226155, 0.009690634)","(0.20057178, 0.0026563122)","(0.27814788, 0.005337718)","(0.506492, 0.002566895)","(0.48598704, 0.0034130192)"
unsat_cliquecoloring_30_118.cnf,"(0.57892215, 0.031938512)","(0.35545963, 0.015178631)","(0.71803534, 0.015770385)","(0.80647343, 0.014042067)","(0.8205082, 0.0096136555)","(0.67189926, 0.015048718)"
unsat_matching_40_111_28630.cnf,"(0.5032259, 0.033169325)","(0.30643985, 0.020549985)","(0.8257302, 0.02795065)","(0.90090865, 0.017057732)","(0.8901598, 0.012866838)","(0.7772049, 0.012537443)"
unsat_4clique_52_1174_65351.cnf,"(0.18935816, 0.0064039556)","(0.14860132, 0.008410731)","(0.23036425, 0.005319878)","(0.24832988, 0.0036810443)","(0.5281742, 0.004129277)","(0.45589438, 0.0020315312)"
sat_dominating_70_1295_52087.cnf,"(0.18629386, 0.005950518)","(0.22737142, 0.008489861)","(0.21410577, 0.0055621457)","(0.2636983, 0.006425252)","(0.5205315, 0.0045775375)","(0.4775475, 0.0050834334)"
unsat_tiling_10_47_90497.cnf,"(0.5869841, 0.045880347)","(0.32633346, 0.02867543)","(0.83687925, 0.03492029)","(0.8796204, 0.030438097)","(0.9053558, 0.017493749)","(0.7868532, 0.016304469)"
unsat_5clique_65_1825_12867.cnf,"(0.18352124, 0.004080603)","(0.15624188, 0.008095898)","(0.17347845, 0.005990664)","(0.18804315, 0.0057534175)","(0.48591098, 0.0039944365)","(0.43783665, 0.0032296977)"
unsat_op_90_775_81162.cnf,"(0.21055207, 0.0063871173)","(0.29213923, 0.008897571)","(0.20468533, 0.004798676)","(0.32642147, 0.006034073)","(0.47610864, 0.0040947776)","(0.4737473, 0.004173488)"
sat_dominating_70_1295_27876.cnf,"(0.18725789, 0.005291215)","(0.22680354, 0.011069398)","(0.21648094, 0.0059160558)","(0.2658041, 0.0073763556)","(0.5176023, 0.0044641313)","(0.47888374, 0.0048420196)"
unsat_tiling_20_231_52499.cnf,"(0.44874844, 0.035923913)","(0.32690245, 0.019934088)","(0.5979589, 0.022795362)","(0.7256306, 0.022837583)","(0.75255823, 0.010766064)","(0.58104426, 0.0058197356)"
unsat_cliquecoloring_62_446.cnf,"(0.30407548, 0.010399989)","(0.3456509, 0.011205994)","(0.35365996, 0.011757548)","(0.48856583, 0.0110984575)","(0.57884294, 0.0034834733)","(0.51710457, 0.005675258)"
sat_php_234_997_36616.cnf,"(0.20065777, 0.0067347903)","(0.26841944, 0.0131796785)","(0.23765285, 0.006834133)","(0.3139393, 0.007652984)","(0.52816045, 0.0028997117)","(0.49185857, 0.0024287133)"
unsat_dominating_80_1808_68998.cnf,"(0.18544176, 0.0038222861)","(0.22815847, 0.009030891)","(0.17266312, 0.0033113456)","(0.20857163, 0.005676614)","(0.48745757, 0.0033512383)","(0.4571051, 0.0025154739)"
unsat_matching_60_259_93884.cnf,"(0.44182563, 0.020173032)","(0.34310868, 0.0154653285)","(0.570965, 0.02082529)","(0.710122, 0.025443384)","(0.7289022, 0.008416463)","(0.56951517, 0.010194306)"
unsat_tseitin_20_100_94365.cnf,"(0.589466, 0.021017218)","(0.5346297, 0.022568773)","(0.472286, 0.014019887)","(0.67649305, 0.021619713)","(0.62499624, 0.008802556)","(0.66191894, 0.017297398)"
sat_4color_120_450_33000.cnf,"(0.33046407, 0.018847479)","(0.27817005, 0.007519016)","(0.4315365, 0.01516785)","(0.5343925, 0.016817568)","(0.6500371, 0.0065756557)","(0.5275034, 0.0054078936)"
sat_5color_250_1550_97858.cnf,"(0.18534149, 0.0043157875)","(0.25905114, 0.0117228385)","(0.18619895, 0.0036268325)","(0.24022472, 0.00940786)","(0.4963088, 0.003180405)","(0.4725685, 0.0044661514)"
unsat_dominating_80_1810_56432.cnf,"(0.18686835, 0.003993756)","(0.2441582, 0.012565529)","(0.17290024, 0.0030301688)","(0.21264848, 0.0033249143)","(0.486329, 0.0042771525)","(0.46080646, 0.0031686523)"
sat_tiling_5_19_51205.cnf,"(0.5973979, 0.04657338)","(0.31453317, 0.042583797)","(0.77751684, 0.04933578)","(0.8082415, 0.030784724)","(0.87823355, 0.02441571)","(0.7550732, 0.034136623)"
sat_php_232_978_45755.cnf,"(0.2007829, 0.0072636395)","(0.2625823, 0.009518064)","(0.23870122, 0.006299065)","(0.314951, 0.0067581655)","(0.53058493, 0.004383445)","(0.49092013, 0.004424275)"
unsat_dominating_80_1810_67242.cnf,"(0.18426357, 0.0049218917)","(0.23959967, 0.013397421)","(0.1737912, 0.0039277794)","(0.21266893, 0.007793563)","(0.48707595, 0.0026921607)","(0.46369514, 0.0030205946)"
sat_php_234_997_1553.cnf,"(0.20267048, 0.007717689)","(0.26180536, 0.008955993)","(0.2395136, 0.008533543)","(0.31048906, 0.008433326)","(0.5280696, 0.005376839)","(0.4896182, 0.0073987497)"
sat_subsetcard_64_1792_25143.cnf,"(0.51825464, 0.0028934954)","(0.21341507, 0.0018363673)","(0.05293758, 0.0013192379)","(0.10161711, 0.0032120307)","(0.2649899, 0.0013735861)","(0.2843573, 0.001737992)"
unsat_subsetcard_53_818_50334.cnf,"(0.33022982, 0.0025720622)","(0.40221167, 0.0111090215)","(0.09612429, 0.0046490254)","(0.14341153, 0.0021647837)","(0.30977893, 0.0014788402)","(0.32335502, 0.002459417)"
unsat_tiling_10_124_9529.cnf,"(0.5344886, 0.029754473)","(0.32689443, 0.014157362)","(0.7634913, 0.029815614)","(0.84458685, 0.022072766)","(0.84871197, 0.01856908)","(0.6806528, 0.015176197)"
sat_tseitin_20_118_71779.cnf,"(0.5273589, 0.009076486)","(0.5502368, 0.018625837)","(0.4033842, 0.011717718)","(0.6227224, 0.014950333)","(0.56689084, 0.006153216)","(0.6163073, 0.011881187)"
sat_tiling_10_236_77445.cnf,"(0.45099777, 0.016787617)","(0.3038922, 0.01645354)","(0.60740125, 0.019972624)","(0.7036413, 0.018983549)","(0.7564086, 0.01390692)","(0.5365151, 0.0147632025)"
sat_php_222_895_6.cnf,"(0.2120233, 0.0047750724)","(0.26717955, 0.01009327)","(0.25523216, 0.0062447176)","(0.33582526, 0.008424713)","(0.5375304, 0.0033534043)","(0.4963932, 0.0048325746)"
unsat_dominating_80_1810_66379.cnf,"(0.18599603, 0.0038100004)","(0.24470909, 0.012206593)","(0.16943114, 0.0042131273)","(0.21098566, 0.0058942083)","(0.4845973, 0.0015286405)","(0.45882902, 0.0022182793)"
unsat_cliquecoloring_50_356.cnf,"(0.3419961, 0.013655015)","(0.3612844, 0.012336887)","(0.40305924, 0.010132868)","(0.5553365, 0.012924587)","(0.6081322, 0.007813541)","(0.5310918, 0.010093161)"
unsat_5clique_50_1130_76720.cnf,"(0.1919965, 0.0065628053)","(0.15043958, 0.008133264)","(0.24034187, 0.0052518463)","(0.26147294, 0.0065486464)","(0.53553313, 0.0052024885)","(0.4578812, 0.0042978385)"
unsat_5clique_65_1695_90705.cnf,"(0.18124212, 0.0031498477)","(0.15552326, 0.0045493436)","(0.18221061, 0.005940456)","(0.19761732, 0.00437279)","(0.49441427, 0.0020901328)","(0.44220346, 0.003093593)"
