tsne_1,tsne_2,comp_name,cnf_name
21.285538,25.539848,original,unsat_5clique_65_1825_50315.cnf
38.83153,-1.1117672,egnn2s,unsat_5clique_65_1825_50315.cnf
31.56513,40.09142,g2sat,unsat_5clique_65_1825_50315.cnf
-1.604356,16.165436,small_gwae2sat_allo,unsat_5clique_65_1825_50315.cnf
-1.3705803,28.84367,small_gwae2sat_auto,unsat_5clique_65_1825_50315.cnf
25.410898,-1.6511966,big_gwae2sat_allo,unsat_5clique_65_1825_50315.cnf
19.49118,-5.9659796,big_gwae2sat_auto,unsat_5clique_65_1825_50315.cnf
-2.4995847,23.305689,original,sat_php_229_953_65845.cnf
20.05542,-21.188532,egnn2s,sat_php_229_953_65845.cnf
-9.747937,26.104609,g2sat,sat_php_229_953_65845.cnf
-0.42179388,11.094292,small_gwae2sat_allo,sat_php_229_953_65845.cnf
-0.46167535,10.794686,small_gwae2sat_auto,sat_php_229_953_65845.cnf
29.982529,-13.146997,big_gwae2sat_allo,sat_php_229_953_65845.cnf
28.693573,-14.1501,big_gwae2sat_auto,sat_php_229_953_65845.cnf
20.902569,27.71865,original,unsat_dominating_80_1810_98166.cnf
45.647766,6.231803,egnn2s,unsat_dominating_80_1810_98166.cnf
32.90775,40.01095,g2sat,unsat_dominating_80_1810_98166.cnf
10.737453,36.298363,small_gwae2sat_allo,unsat_dominating_80_1810_98166.cnf
10.001203,36.058044,small_gwae2sat_auto,unsat_dominating_80_1810_98166.cnf
32.119987,-2.422069,big_gwae2sat_allo,unsat_dominating_80_1810_98166.cnf
23.259653,-2.3227677,big_gwae2sat_auto,unsat_dominating_80_1810_98166.cnf
-39.431755,3.237469,original,unsat_tiling_20_102_21063.cnf
-30.806067,-13.144691,egnn2s,unsat_tiling_20_102_21063.cnf
-39.31129,3.8827996,g2sat,unsat_tiling_20_102_21063.cnf
-32.457535,-14.785632,small_gwae2sat_allo,unsat_tiling_20_102_21063.cnf
-32.771557,-14.738234,small_gwae2sat_auto,unsat_tiling_20_102_21063.cnf
-23.376148,-23.519184,big_gwae2sat_allo,unsat_tiling_20_102_21063.cnf
-23.33483,-23.53734,big_gwae2sat_auto,unsat_tiling_20_102_21063.cnf
-2.394161,21.087925,original,sat_php_225_920_5668.cnf
19.422855,-21.83908,egnn2s,sat_php_225_920_5668.cnf
-2.4558601,26.286093,g2sat,sat_php_225_920_5668.cnf
-0.19553319,10.28312,small_gwae2sat_allo,sat_php_225_920_5668.cnf
0.17483617,8.420128,small_gwae2sat_auto,sat_php_225_920_5668.cnf
28.290667,-14.800344,big_gwae2sat_allo,sat_php_225_920_5668.cnf
29.8591,-13.233345,big_gwae2sat_auto,sat_php_225_920_5668.cnf
19.237467,27.875921,original,unsat_dominating_80_1809_31472.cnf
45.19621,5.066578,egnn2s,unsat_dominating_80_1809_31472.cnf
33.124428,41.4562,g2sat,unsat_dominating_80_1809_31472.cnf
5.3756623,34.98735,small_gwae2sat_allo,unsat_dominating_80_1809_31472.cnf
4.653421,34.67813,small_gwae2sat_auto,unsat_dominating_80_1809_31472.cnf
21.38073,-3.4528167,big_gwae2sat_allo,unsat_dominating_80_1809_31472.cnf
25.569487,-2.0920136,big_gwae2sat_auto,unsat_dominating_80_1809_31472.cnf
-12.50245,24.528584,original,unsat_php_94_857_1462.cnf
9.657225,-27.317936,egnn2s,unsat_php_94_857_1462.cnf
-11.664357,24.89319,g2sat,unsat_php_94_857_1462.cnf
-0.7989318,1.1381494,small_gwae2sat_allo,unsat_php_94_857_1462.cnf
-0.17588872,2.8389652,small_gwae2sat_auto,unsat_php_94_857_1462.cnf
22.823086,-17.193134,big_gwae2sat_allo,unsat_php_94_857_1462.cnf
23.059376,-17.261854,big_gwae2sat_auto,unsat_php_94_857_1462.cnf
-32.91899,14.1595335,original,unsat_tseitin_40_266_90515.cnf
-6.3046756,-17.6501,egnn2s,unsat_tseitin_40_266_90515.cnf
-31.731445,15.233713,g2sat,unsat_tseitin_40_266_90515.cnf
-10.249539,-12.793763,small_gwae2sat_allo,unsat_tseitin_40_266_90515.cnf
-10.153869,-12.761964,small_gwae2sat_auto,unsat_tseitin_40_266_90515.cnf
12.755237,-26.46847,big_gwae2sat_allo,unsat_tseitin_40_266_90515.cnf
12.781817,-26.41711,big_gwae2sat_auto,unsat_tseitin_40_266_90515.cnf
-14.330976,24.0326,original,unsat_tiling_20_782_63634.cnf
6.919512,-27.560883,egnn2s,unsat_tiling_20_782_63634.cnf
-13.696605,24.268652,g2sat,unsat_tiling_20_782_63634.cnf
-0.5688117,2.0007634,small_gwae2sat_allo,unsat_tiling_20_782_63634.cnf
-0.56211215,2.4258413,small_gwae2sat_auto,unsat_tiling_20_782_63634.cnf
21.930033,-17.268248,big_gwae2sat_allo,unsat_tiling_20_782_63634.cnf
21.71744,-17.198095,big_gwae2sat_auto,unsat_tiling_20_782_63634.cnf
31.731743,39.988873,original,unsat_5clique_65_1955_30435.cnf
38.064682,-1.336042,egnn2s,unsat_5clique_65_1955_30435.cnf
32.91847,37.58245,g2sat,unsat_5clique_65_1955_30435.cnf
0.027607672,31.26048,small_gwae2sat_allo,unsat_5clique_65_1955_30435.cnf
-0.18548477,31.023453,small_gwae2sat_auto,unsat_5clique_65_1955_30435.cnf
19.055058,-6.9166427,big_gwae2sat_allo,unsat_5clique_65_1955_30435.cnf
19.31788,-6.1387177,big_gwae2sat_auto,unsat_5clique_65_1955_30435.cnf
-30.200417,16.224545,original,unsat_matching_80_356_51040.cnf
-4.7113676,-20.53555,egnn2s,unsat_matching_80_356_51040.cnf
-27.751812,19.069258,g2sat,unsat_matching_80_356_51040.cnf
-9.469254,-11.013885,small_gwae2sat_allo,unsat_matching_80_356_51040.cnf
-9.256455,-10.997513,small_gwae2sat_auto,unsat_matching_80_356_51040.cnf
