tsne_1,tsne_2,comp_name,cnf_name
27.978151,-9.702389,original,unsat_5clique_65_1825_50315.cnf
11.0931835,6.6033154,original,sat_php_229_953_65845.cnf
27.396465,-7.1104484,original,unsat_dominating_80_1810_98166.cnf
-29.369877,-0.55603117,original,unsat_tiling_20_102_21063.cnf
-29.162308,-0.67968947,w2sat,unsat_tiling_20_102_21063.cnf
10.70853,7.4570413,original,sat_php_225_920_5668.cnf
27.415524,-3.4855747,original,unsat_dominating_80_1809_31472.cnf
26.252949,-6.208424,w2sat,unsat_dominating_80_1809_31472.cnf
7.6196027,5.844057,original,unsat_php_94_857_1462.cnf
7.618868,5.8437386,w2sat,unsat_php_94_857_1462.cnf
-15.686281,-0.5365019,original,unsat_tseitin_40_266_90515.cnf
-15.688047,-0.6369339,w2sat,unsat_tseitin_40_266_90515.cnf
5.8259706,5.485349,original,unsat_tiling_20_782_63634.cnf
5.825975,5.4851766,w2sat,unsat_tiling_20_782_63634.cnf
30.052643,-8.586152,original,unsat_5clique_65_1955_30435.cnf
-11.807346,1.0628926,original,unsat_matching_80_356_51040.cnf
-10.173763,1.4143454,w2sat,unsat_matching_80_356_51040.cnf
-26.971266,-0.83270276,original,unsat_cliquecoloring_27_131.cnf
-26.979874,-0.7787685,w2sat,unsat_cliquecoloring_27_131.cnf
-3.4837887,6.0775437,original,sat_5color_100_420_10212.cnf
-3.4838583,6.077491,w2sat,sat_5color_100_420_10212.cnf
-12.047181,0.9930164,original,unsat_matching_80_361_40622.cnf
-10.037744,1.3508731,w2sat,unsat_matching_80_361_40622.cnf
-4.263888,3.1296308,original,unsat_4clique_32_452_22842.cnf
-4.2545443,3.1263807,w2sat,unsat_4clique_32_452_22842.cnf
16.213028,4.0670075,original,sat_matching_160_1285_40622.cnf
16.213005,4.0651493,w2sat,sat_matching_160_1285_40622.cnf
-27.8916,-1.2803665,original,unsat_cliquecoloring_30_118.cnf
-27.89698,-1.2722273,w2sat,unsat_cliquecoloring_30_118.cnf
-28.777033,-1.4781715,original,unsat_matching_40_111_28630.cnf
-28.33167,-1.6357874,w2sat,unsat_matching_40_111_28630.cnf
14.956671,4.0870295,original,unsat_4clique_52_1174_65351.cnf
15.646951,4.0709114,original,sat_dominating_70_1295_52087.cnf
15.643248,3.6617634,w2sat,sat_dominating_70_1295_52087.cnf
-31.824726,-1.0380924,original,unsat_tiling_10_47_90497.cnf
-31.791822,-0.97123766,w2sat,unsat_tiling_10_47_90497.cnf
27.978579,-9.702367,original,unsat_5clique_65_1825_12867.cnf
2.570374,5.4561963,original,unsat_op_90_775_81162.cnf
6.296238,6.1087127,w2sat,unsat_op_90_775_81162.cnf
15.646952,4.0709066,original,sat_dominating_70_1295_27876.cnf
15.643228,3.6618314,w2sat,sat_dominating_70_1295_27876.cnf
-17.778244,-2.291247,original,unsat_tiling_20_231_52499.cnf
-17.778635,-2.2899625,w2sat,unsat_tiling_20_231_52499.cnf
-3.828362,4.515034,original,unsat_cliquecoloring_62_446.cnf
-3.8267515,4.5131426,w2sat,unsat_cliquecoloring_62_446.cnf
11.84475,6.965137,original,sat_php_234_997_36616.cnf
27.969732,-3.6990356,original,unsat_dominating_80_1808_68998.cnf
26.372038,-5.7650213,w2sat,unsat_dominating_80_1808_68998.cnf
-18.735188,-0.3874226,original,unsat_matching_60_259_93884.cnf
-16.21367,0.44242945,w2sat,unsat_matching_60_259_93884.cnf
-29.352911,-0.932866,original,unsat_tseitin_20_100_94365.cnf
-29.347656,-0.89023596,w2sat,unsat_tseitin_20_100_94365.cnf
-2.7328928,6.0826983,original,sat_4color_120_450_33000.cnf
-2.7328167,6.082621,w2sat,sat_4color_120_450_33000.cnf
23.806759,-2.9287314,original,sat_5color_250_1550_97858.cnf
23.806717,-2.9287055,w2sat,sat_5color_250_1550_97858.cnf
27.590624,-6.7676153,original,unsat_dominating_80_1810_56432.cnf
-32.407745,-1.0873243,original,sat_tiling_5_19_51205.cnf
-32.407566,-1.0886401,w2sat,sat_tiling_5_19_51205.cnf
11.4311075,6.5112567,original,sat_php_232_978_45755.cnf
