Instance,Small_Total_GVAE
unsat_5clique_65_1825_50315.cnf,"[2.97484e-06, 2.5045997e-06, 2.0669482e-05, 2.5356e-06]"
sat_php_229_953_65845.cnf,"[2.6965802e-06, 2.25118e-06, 2.094371e-05, 2.24377e-06]"
unsat_dominating_80_1810_98166.cnf,"[2.8126299e-06, 2.47646e-06, 2.067089e-05, 2.5588301e-06]"
unsat_tiling_20_102_21063.cnf,"[5.39664e-06, 1.0494849e-05, 4.3036256e-05, 1.2548209e-05]"
sat_php_225_920_5668.cnf,"[2.45028e-06, 2.1815e-06, 2.112034e-05, 2.2046102e-06]"
unsat_dominating_80_1809_31472.cnf,"[2.7231401e-06, 2.3596199e-06, 2.046375e-05, 2.40735e-06]"
unsat_php_94_857_1462.cnf,"[2.3921598e-06, 2.1293602e-06, 2.082966e-05, 2.1723401e-06]"
unsat_tseitin_40_266_90515.cnf,"[1.3344199e-05, 3.2729058e-05, 0.00011700245, 3.4865203e-05]"
unsat_tiling_20_782_63634.cnf,"[2.39658e-06, 2.14693e-06, 2.113692e-05, 2.2141198e-06]"
unsat_5clique_65_1955_30435.cnf,"[2.92715e-06, 2.5539898e-06, 2.0663629e-05, 2.54505e-06]"
unsat_matching_80_356_51040.cnf,"[2.27396e-06, 2.06291e-06, 2.08438e-05, 2.08674e-06]"
unsat_cliquecoloring_27_131.cnf,"[6.5475992e-06, 1.0576201e-05, 4.675777e-05, 1.315791e-05]"
sat_5color_100_420_10212.cnf,"[2.3072303e-06, 2.10822e-06, 2.1183518e-05, 2.0973198e-06]"
unsat_matching_80_361_40622.cnf,"[2.27338e-06, 2.0602001e-06, 2.0823169e-05, 2.07624e-06]"
unsat_4clique_32_452_22842.cnf,"[3.16251e-06, 4.58686e-06, 2.6431091e-05, 5.6131e-06]"
sat_matching_160_1285_40622.cnf,"[2.62759e-06, 2.4149099e-06, 2.0460968e-05, 2.3828702e-06]"
unsat_cliquecoloring_30_118.cnf,"[4.57699e-06, 6.9987896e-06, 3.4254852e-05, 8.63201e-06]"
unsat_matching_40_111_28630.cnf,"[3.78045e-06, 5.64012e-06, 3.107211e-05, 7.0946494e-06]"
unsat_4clique_52_1174_65351.cnf,"[2.49414e-06, 2.23741e-06, 2.061065e-05, 2.26142e-06]"
sat_dominating_70_1295_52087.cnf,"[2.52226e-06, 2.19945e-06, 2.0435053e-05, 2.24259e-06]"
unsat_tiling_10_47_90497.cnf,"[5.57397e-06, 9.46658e-06, 3.91415e-05, 1.00538e-05]"
unsat_5clique_65_1825_12867.cnf,"[2.8837599e-06, 2.4194198e-06, 2.0857331e-05, 2.5036602e-06]"
unsat_op_90_775_81162.cnf,"[2.5860302e-06, 2.37202e-06, 2.165215e-05, 2.4192702e-06]"
sat_dominating_70_1295_27876.cnf,"[2.51135e-06, 2.21729e-06, 2.0301191e-05, 2.20693e-06]"
unsat_tiling_20_231_52499.cnf,"[3.97764e-06, 6.72956e-06, 3.2297485e-05, 8.46521e-06]"
unsat_cliquecoloring_62_446.cnf,"[2.34859e-06, 2.11597e-06, 2.1240234e-05, 2.16151e-06]"
sat_php_234_997_36616.cnf,"[2.44531e-06, 2.23499e-06, 2.069551e-05, 2.2385498e-06]"
unsat_dominating_80_1808_68998.cnf,"[2.8092e-06, 2.39458e-06, 2.0576841e-05, 2.48457e-06]"
unsat_matching_60_259_93884.cnf,"[2.29292e-06, 2.03641e-06, 2.029867e-05, 2.09579e-06]"
unsat_tseitin_20_100_94365.cnf,"[1.1109911e-05, 2.03826e-05, 9.138259e-05, 2.226802e-05]"
sat_4color_120_450_33000.cnf,"[2.2959198e-06, 2.06927e-06, 2.125049e-05, 2.11994e-06]"
sat_5color_250_1550_97858.cnf,"[2.71976e-06, 2.42762e-06, 2.0634452e-05, 2.38265e-06]"
unsat_dominating_80_1810_56432.cnf,"[2.7687197e-06, 2.4136e-06, 2.0661151e-05, 2.46396e-06]"
sat_tiling_5_19_51205.cnf,"[4.2688e-06, 8.16969e-06, 2.957673e-05, 6.8131203e-06]"
sat_php_232_978_45755.cnf,"[2.4572698e-06, 2.1929202e-06, 2.101539e-05, 2.20069e-06]"
unsat_dominating_80_1810_67242.cnf,"[2.7851902e-06, 2.46017e-06, 2.0632291e-05, 2.4686801e-06]"
