Instance,Allo-GWAE2SAT,Auto-GWAE2SAT,Stoch-Allo-GWAE2SAT,Stoch-Auto-GWAE2SAT
unsat_tiling_20_102_21063.cnf,"[2.93375e-06, 2.3356201e-06, 1.755403e-05, 2.36564e-06]","[3.1599902e-06, 2.4240499e-06, 1.817286e-05, 2.2232598e-06]","[2.3529703e-06, 1.96682e-06, 1.255556e-05, 1.9237e-06]","[2.45106e-06, 1.9597203e-06, 1.227413e-05, 2.01209e-06]"
unsat_tseitin_40_266_90515.cnf,"[4.03045e-06, 5.00631e-06, 5.244581e-05, 5.2184805e-06]","[5.5215705e-06, 6.3566304e-06, 4.8210473e-05, 5.9166005e-06]","[1.3350441e-05, 2.3850931e-05, 4.348093e-05, 2.269488e-05]","[1.6076461e-05, 2.728277e-05, 5.0437295e-05, 2.5990928e-05]"
unsat_tiling_20_782_63634.cnf,"[3.24664e-06, 2.88205e-06, 5.2076968e-05, 3.22405e-06]","[3.08274e-06, 2.8618301e-06, 4.8884576e-05, 2.9825e-06]","[2.3736702e-06, 2.0866298e-06, 1.2548911e-05, 2.06716e-06]","[2.38125e-06, 2.07716e-06, 1.262302e-05, 2.02767e-06]"
unsat_cliquecoloring_27_131.cnf,"[2.58132e-06, 2.25525e-06, 2.0230698e-05, 2.39039e-06]","[2.45564e-06, 2.14767e-06, 1.9826191e-05, 2.1404499e-06]","[2.59118e-06, 1.99596e-06, 1.24480985e-05, 1.98596e-06]","[2.32095e-06, 1.9908898e-06, 1.301703e-05, 1.9529803e-06]"
sat_5color_100_420_10212.cnf,"[2.7415e-06, 2.55745e-06, 3.343411e-05, 2.6515002e-06]","[2.81353e-06, 2.58776e-06, 3.3073207e-05, 2.6472e-06]","[2.43545e-06, 2.25867e-06, 1.537511e-05, 2.1140502e-06]","[2.5267702e-06, 2.2039198e-06, 1.5368309e-05, 2.09819e-06]"
unsat_matching_80_361_40622.cnf,"[2.7341998e-06, 2.49839e-06, 3.122794e-05, 2.6066698e-06]","[2.81389e-06, 2.43212e-06, 3.143278e-05, 2.51861e-06]","[2.4634498e-06, 2.1774802e-06, 1.4715831e-05, 2.12346e-06]","[2.42658e-06, 2.1320302e-06, 1.49875505e-05, 2.08935e-06]"
unsat_4clique_32_452_22842.cnf,"[2.9037897e-06, 2.53763e-06, 3.4235032e-05, 2.64569e-06]","[2.7043102e-06, 2.5673198e-06, 3.3687782e-05, 2.60164e-06]","[2.4615601e-06, 2.11599e-06, 1.2970229e-05, 2.01911e-06]","[2.4327398e-06, 2.0575599e-06, 1.30444805e-05, 2.17967e-06]"
unsat_cliquecoloring_30_118.cnf,"[2.9030398e-06, 2.91778e-06, 2.0266762e-05, 2.74293e-06]","[2.4412698e-06, 2.11213e-06, 1.920268e-05, 2.0989798e-06]","[2.6646999e-06, 2.88794e-06, 1.3802741e-05, 2.5724398e-06]","[2.4045098e-06, 1.96697e-06, 1.2756971e-05, 1.9423e-06]"
unsat_matching_40_111_28630.cnf,"[2.68244e-06, 2.72049e-06, 2.055274e-05, 2.9196399e-06]","[2.42553e-06, 2.0726e-06, 1.756446e-05, 2.09979e-06]","[2.3258704e-06, 1.9882198e-06, 1.3213061e-05, 1.94628e-06]","[2.43762e-06, 1.9691e-06, 1.31098595e-05, 1.9251e-06]"
unsat_4clique_52_1174_65351.cnf,"[3.5777598e-06, 3.41725e-06, 6.487974e-05, 3.63727e-06]","[3.43217e-06, 3.0449198e-06, 5.7216082e-05, 3.2044798e-06]","[2.45975e-06, 2.1160201e-06, 1.3835381e-05, 2.1206201e-06]","[2.4983299e-06, 2.1526898e-06, 1.37714505e-05, 2.1364199e-06]"
