Instance,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_tiling_20_102_21063.cnf,"[0, 1, 3, 2]","[0, 3, 1, 2]"
unsat_tseitin_40_266_90515.cnf,"[0, 1, 3, 2]","[0, 3, 1, 2]"
unsat_tiling_20_782_63634.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
unsat_cliquecoloring_27_131.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_5color_100_420_10212.cnf,"[3, 1, 0, 2]","[3, 1, 0, 2]"
unsat_matching_80_361_40622.cnf,"[1, 3, 0, 2]","[3, 1, 0, 2]"
unsat_4clique_32_452_22842.cnf,"[0, 1, 3, 2]","[3, 1, 0, 2]"
unsat_cliquecoloring_30_118.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_matching_40_111_28630.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_4clique_52_1174_65351.cnf,"[3, 1, 0, 2]","[3, 1, 0, 2]"
unsat_tiling_10_47_90497.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
unsat_tiling_20_231_52499.cnf,"[0, 1, 3, 2]","[1, 3, 0, 2]"
unsat_cliquecoloring_62_446.cnf,"[3, 1, 0, 2]","[1, 3, 0, 2]"
unsat_matching_60_259_93884.cnf,"[3, 1, 0, 2]","[1, 3, 0, 2]"
unsat_tseitin_20_100_94365.cnf,"[0, 1, 3, 2]","[0, 3, 1, 2]"
sat_subsetcard_64_1792_25143.cnf,"[0, 3, 1, 2]","[3, 1, 0, 2]"
sat_tiling_10_236_77445.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_cliquecoloring_50_356.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
sat_dominating_70_1295_25518.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
unsat_matching_40_184_2153.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_php_224_908_8740.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
sat_tiling_10_244_40767.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_cliquecoloring_50_213.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_php_101_509_5311.cnf,"[3, 1, 0, 2]","[1, 3, 0, 2]"
sat_php_213_828_16930.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
sat_php_233_990_95853.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
sat_op_45_249_69595.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_cliquecoloring_55_227.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_5color_50_260_2076.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_tiling_20_793_2570.cnf,"[3, 1, 0, 2]","[1, 3, 0, 2]"
sat_cliquecoloring_99_561.cnf,"[1, 3, 0, 2]","[3, 1, 0, 2]"
unsat_php_186_1660_24423.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
sat_op_45_249_85625.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_cliquecoloring_80_524.cnf,"[1, 3, 0, 2]","[3, 1, 0, 2]"
sat_cliquecoloring_45_137.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_matching_60_251_14901.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_subsetcard_36_360_58681.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_tseitin_20_130_36501.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
sat_tseitin_30_468_86187.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
unsat_cliquecoloring_37_230.cnf,"[0, 1, 3, 2]","[3, 1, 0, 2]"
sat_subsetcard_12_72_25143.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_4clique_32_404_34389.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_php_96_450_86266.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
unsat_php_97_451_21992.cnf,"[1, 3, 0, 2]","[3, 1, 0, 2]"
unsat_4color_40_190_72085.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_op_28_119_84304.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_cliquecoloring_36_176.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_subsetcard_12_36_64659.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
unsat_tseitin_30_568_54824.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
unsat_cliquecoloring_54_673.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
unsat_matching_80_365_47440.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
unsat_tseitin_30_452_52851.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
sat_3clique_24_255_7737.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_op_45_249_90577.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_tseitin_30_424_85097.cnf,"[0, 3, 1, 2]","[0, 3, 1, 2]"
sat_php_188_804_77056.cnf,"[3, 1, 0, 2]","[1, 3, 0, 2]"
unsat_subsetcard_31_129_84276.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_dominating_60_970_53707.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
sat_cliquecoloring_69_305.cnf,"[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_dominating_40_455_67184.cnf,"[1, 3, 0, 2]","[1, 3, 0, 2]"
