Instance,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_tiling_20_102_21063.cnf,"[6.24896e-06, 1.089829e-05, 4.5181685e-05, 1.2406888e-05]","[6.935229e-06, 1.1619851e-05, 4.1134994e-05, 1.0237321e-05]"
unsat_tseitin_40_266_90515.cnf,"[1.3733721e-05, 3.503222e-05, 0.000119750235, 3.5178007e-05]","[1.3583381e-05, 3.419694e-05, 0.00011414847, 3.401054e-05]"
unsat_tiling_20_782_63634.cnf,"[3.15665e-06, 2.8609e-06, 2.258172e-05, 2.88407e-06]","[3.20965e-06, 2.90559e-06, 2.1708069e-05, 2.98189e-06]"
unsat_cliquecoloring_27_131.cnf,"[7.97038e-06, 1.33511185e-05, 5.3738506e-05, 1.576721e-05]","[4.68202e-06, 5.8913706e-06, 3.100971e-05, 6.6190005e-06]"
sat_5color_100_420_10212.cnf,"[3.14435e-06, 2.8459e-06, 2.2506933e-05, 2.8423797e-06]","[3.04491e-06, 2.7812698e-06, 2.166675e-05, 2.77979e-06]"
unsat_matching_80_361_40622.cnf,"[3.08999e-06, 2.76219e-06, 2.2032951e-05, 2.7786703e-06]","[3.0282201e-06, 2.7688297e-06, 2.1646501e-05, 2.74e-06]"
unsat_4clique_32_452_22842.cnf,"[4.7638296e-06, 8.482471e-06, 3.3847766e-05, 1.038433e-05]","[3.03565e-06, 2.79005e-06, 2.185616e-05, 2.7870801e-06]"
unsat_cliquecoloring_30_118.cnf,"[1.002209e-05, 1.7614959e-05, 6.787505e-05, 2.056049e-05]","[6.9853604e-06, 1.08881095e-05, 4.5543922e-05, 1.266775e-05]"
unsat_matching_40_111_28630.cnf,"[3.91514e-06, 5.55365e-06, 2.7498818e-05, 6.11624e-06]","[4.4908497e-06, 6.71678e-06, 3.129455e-05, 7.67775e-06]"
unsat_4clique_52_1174_65351.cnf,"[3.3483e-06, 3.0116e-06, 2.2072778e-05, 2.9931502e-06]","[3.4975e-06, 3.00831e-06, 2.161523e-05, 2.9779899e-06]"
unsat_tiling_10_47_90497.cnf,"[5.6388603e-06, 1.003021e-05, 3.897619e-05, 9.82033e-06]","[6.00367e-06, 1.10518795e-05, 4.103289e-05, 1.082998e-05]"
unsat_tiling_20_231_52499.cnf,"[4.67474e-06, 7.5548696e-06, 3.3415807e-05, 8.8465e-06]","[2.9032399e-06, 2.6128598e-06, 2.078783e-05, 2.63988e-06]"
unsat_cliquecoloring_62_446.cnf,"[3.0738097e-06, 2.76725e-06, 2.2675249e-05, 2.7602498e-06]","[3.13603e-06, 2.7927802e-06, 2.207543e-05, 2.79831e-06]"
