Instance,Original,EGNN2S,G2SAT,Small_Allo_GWAE2SAT,Big_Allo_GWAE2SAT,Small_Auto_GWAE2SAT,Big_Auto_GWAE2SAT
unsat_5clique_65_1825_50315.cnf,[1 0 3 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
sat_php_229_953_65845.cnf,[1 0 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[1, 3, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_dominating_80_1810_98166.cnf,[0 1 3 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_tiling_20_102_21063.cnf,[0 1 3 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_php_225_920_5668.cnf,[1 0 3 2],"[3, 1, 2, 0]","[1, 3, 0, 2]","[1, 3, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_dominating_80_1809_31472.cnf,[1 0 3 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_php_94_857_1462.cnf,[1 3 0 2],"[3, 1, 0, 2]","[1, 3, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_tseitin_40_266_90515.cnf,[3 1 0 2],"[1, 0, 3, 2]","[0, 3, 1, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_tiling_20_782_63634.cnf,[3 0 1 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 3, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_5clique_65_1955_30435.cnf,[0 1 3 2],"[3, 1, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_matching_80_356_51040.cnf,[0 1 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[1, 0, 3, 2]","[0, 1, 3, 2]"
unsat_cliquecoloring_27_131.cnf,[1 3 0 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_5color_100_420_10212.cnf,[0 1 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]","[1, 3, 0, 2]","[1, 0, 3, 2]"
unsat_matching_80_361_40622.cnf,[1 3 0 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
unsat_4clique_32_452_22842.cnf,[3 0 1 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_matching_160_1285_40622.cnf,[0 2 1 3],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_cliquecoloring_30_118.cnf,[1 3 0 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_matching_40_111_28630.cnf,[3 1 0 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_4clique_52_1174_65351.cnf,[1 0 3 2],"[3, 1, 0, 2]","[1, 3, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
sat_dominating_70_1295_52087.cnf,[1 3 0 2],"[3, 1, 0, 2]","[1, 3, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_tiling_10_47_90497.cnf,[3 0 1 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_5clique_65_1825_12867.cnf,[1 3 0 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_op_90_775_81162.cnf,[3 1 0 2],"[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
sat_dominating_70_1295_27876.cnf,[0 1 3 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
unsat_tiling_20_231_52499.cnf,[1 3 0 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_cliquecoloring_62_446.cnf,[3 1 0 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
sat_php_234_997_36616.cnf,[0 1 3 2],"[3, 1, 2, 0]","[0, 3, 2, 1]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_dominating_80_1808_68998.cnf,[1 0 3 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_matching_60_259_93884.cnf,[1 0 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_tseitin_20_100_94365.cnf,[3 1 0 2],"[0, 1, 3, 2]","[3, 0, 1, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_4color_120_450_33000.cnf,[0 1 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
sat_5color_250_1550_97858.cnf,[1 0 3 2],"[3, 1, 2, 0]","[1, 3, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
unsat_dominating_80_1810_56432.cnf,[0 3 1 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
sat_tiling_5_19_51205.cnf,[0 3 1 2],"[3, 0, 1, 2]","[3, 0, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]","[0, 3, 1, 2]"
sat_php_232_978_45755.cnf,[1 0 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_dominating_80_1810_67242.cnf,[3 1 0 2],"[3, 1, 0, 2]","[1, 3, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
sat_php_234_997_1553.cnf,[1 0 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
sat_subsetcard_64_1792_25143.cnf,[3 1 0 2],"[3, 1, 2, 0]","[1, 3, 0, 2]","[0, 3, 1, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]"
unsat_subsetcard_53_818_50334.cnf,[3 1 0 2],"[1, 3, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
unsat_tiling_10_124_9529.cnf,[3 1 0 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_tseitin_20_118_71779.cnf,[3 0 1 2],"[0, 1, 3, 2]","[3, 0, 1, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_tiling_10_236_77445.cnf,[0 3 1 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]","[0, 1, 3, 2]"
sat_php_222_895_6.cnf,[0 1 3 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]","[3, 1, 0, 2]","[1, 0, 3, 2]"
unsat_dominating_80_1810_66379.cnf,[1 3 0 2],"[3, 1, 0, 2]","[1, 3, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]"
unsat_cliquecoloring_50_356.cnf,[3 1 0 2],"[3, 1, 2, 0]","[3, 1, 0, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
unsat_5clique_50_1130_76720.cnf,[0 3 1 2],"[3, 1, 0, 2]","[3, 1, 0, 2]","[1, 3, 0, 2]","[0, 1, 3, 2]","[3, 1, 0, 2]","[0, 1, 3, 2]"
