Instance,Original,EGNN2S,G2SAT,Small_Allo_GWAE2SAT,Big_Allo_GWAE2SAT,Small_Auto_GWAE2SAT,Big_Auto_GWAE2SAT
unsat_5clique_65_1825_50315.cnf,False,0.0,0.0,0.0,0.8,0.0,0.9
sat_php_229_953_65845.cnf,True,0.0,0.0,0.0,0.3,0.0,0.4
unsat_dominating_80_1810_98166.cnf,False,0.0,0.0,0.0,0.6,0.0,0.9
unsat_tiling_20_102_21063.cnf,False,0.2,0.0,0.5,0.5,0.6,0.5
sat_php_225_920_5668.cnf,True,0.0,0.0,0.0,0.4,0.0,0.4
unsat_dominating_80_1809_31472.cnf,False,0.0,0.0,0.0,0.7,0.0,0.6
unsat_php_94_857_1462.cnf,False,0.0,0.0,0.0,0.3,0.0,0.3
unsat_tseitin_40_266_90515.cnf,False,1.0,1.0,1.0,0.5,1.0,0.5
unsat_tiling_20_782_63634.cnf,False,0.0,0.0,0.0,0.4,0.0,0.5
unsat_5clique_65_1955_30435.cnf,False,0.0,0.0,0.0,0.9,0.0,0.9
unsat_matching_80_356_51040.cnf,True,0.0,0.0,0.0,0.5,0.0,0.5
unsat_cliquecoloring_27_131.cnf,False,0.0,0.0,0.4,0.5,0.5,0.5
sat_5color_100_420_10212.cnf,True,0.0,0.0,0.0,0.5,0.0,0.5
unsat_matching_80_361_40622.cnf,False,0.0,0.0,0.0,0.5,0.0,0.4
unsat_4clique_32_452_22842.cnf,False,0.0,0.0,0.2,0.5,0.3,0.5
sat_matching_160_1285_40622.cnf,True,0.0,0.0,0.0,0.5,0.0,0.4
unsat_cliquecoloring_30_118.cnf,False,0.0,0.0,0.4,0.5,0.6,0.5
unsat_matching_40_111_28630.cnf,False,0.0,0.0,0.4,0.5,0.4,0.5
unsat_4clique_52_1174_65351.cnf,False,0.0,0.0,0.0,0.5,0.0,0.7
sat_dominating_70_1295_52087.cnf,True,0.0,0.0,0.0,0.5,0.0,0.4
unsat_tiling_10_47_90497.cnf,False,0.3,0.0,1.0,0.5,0.7,0.5
unsat_5clique_65_1825_12867.cnf,False,0.0,0.0,0.0,0.9,0.0,0.9
unsat_op_90_775_81162.cnf,False,0.0,0.0,0.0,0.5,0.0,0.5
sat_dominating_70_1295_27876.cnf,True,0.0,0.0,0.0,0.7,0.0,0.6
unsat_tiling_20_231_52499.cnf,False,0.0,0.0,0.0,0.5,0.0,0.5
unsat_cliquecoloring_62_446.cnf,False,0.0,0.0,0.0,0.5,0.0,0.5
sat_php_234_997_36616.cnf,True,0.0,0.0,0.0,0.3,0.0,0.5
unsat_dominating_80_1808_68998.cnf,False,0.0,0.0,0.0,0.8,0.0,0.8
unsat_matching_60_259_93884.cnf,False,0.0,0.0,0.0,0.5,0.0,0.5
unsat_tseitin_20_100_94365.cnf,False,1.0,1.0,1.0,0.5,1.0,0.5
sat_4color_120_450_33000.cnf,True,0.0,0.0,0.0,0.5,0.0,0.5
sat_5color_250_1550_97858.cnf,True,0.0,0.0,0.0,0.7,0.0,0.5
unsat_dominating_80_1810_56432.cnf,False,0.0,0.0,0.0,0.7,0.0,0.6
sat_tiling_5_19_51205.cnf,True,0.7,0.1,1.0,0.5,1.0,0.5
sat_php_232_978_45755.cnf,True,0.0,0.0,0.0,0.5,0.0,0.5
unsat_dominating_80_1810_67242.cnf,False,0.0,0.0,0.0,0.7,0.0,0.7
sat_php_234_997_1553.cnf,True,0.0,0.0,0.0,0.5,0.0,0.4
sat_subsetcard_64_1792_25143.cnf,True,0.0,1.0,1.0,1.0,1.0,1.0
