Instance,Original,EGNN2S,G2SAT,Small_Allo_GWAE2SAT,Big_Allo_GWAE2SAT,Small_Auto_GWAE2SAT,Big_Auto_GWAE2SAT,W2SAT
unsat_5clique_65_1825_50315.cnf,"[0.00012277740000001813, 0.00010608720000009342, 0.0007389673000002261, 0.00015528320000015582]","[0.00040867826, 0.00020164457, 0.00052238826, 0.0001000613]","[3.0338201e-06, 2.53518e-06, 1.5137921e-05, 2.47585e-06]","[3.3186502e-06, 2.8789902e-06, 2.1374111e-05, 2.82193e-06]","[4.9630074e-05, 0.00011491145, 0.0003878582, 0.00012612183]","[3.16048e-06, 2.65695e-06, 2.116272e-05, 2.84715e-06]","[5.310629e-05, 0.00013312604, 0.00041735024, 0.0001483408]",
sat_php_229_953_65845.cnf,"[2.819170000005755e-05, 2.7590300000035483e-05, 9.626510000000365e-05, 4.644169999998837e-05]","[0.00027718578, 0.00012238183, 0.000198309, 7.049486e-05]","[2.6236098e-06, 2.2176698e-06, 1.49220405e-05, 2.19804e-06]","[2.8743295e-06, 2.36934e-06, 2.112302e-05, 2.3831199e-06]","[4.074065e-05, 3.5849327e-05, 0.0002081102, 4.4852615e-05]","[2.8244401e-06, 2.3122998e-06, 2.104788e-05, 2.3041398e-06]","[4.881921e-05, 4.6349327e-05, 0.00025905957, 5.7975907e-05]",
unsat_dominating_80_1810_98166.cnf,"[0.0001368026000001521, 0.00018094340000001096, 0.0011329078000001046, 0.00021701440000008177]","[0.00041302986, 0.00019468898, 0.00047727907, 0.00010409679]","[3.0258802e-06, 2.4916e-06, 1.57599e-05, 2.47218e-06]","[3.1457398e-06, 2.7773299e-06, 2.061965e-05, 2.5884099e-06]","[5.3548167e-05, 8.0599384e-05, 0.00035299596, 8.954109e-05]","[3.16136e-06, 2.60085e-06, 2.0493699e-05, 2.5825398e-06]","[7.967201e-05, 0.00013681945, 0.0004518794, 0.0001516455]",
unsat_tiling_20_102_21063.cnf,"[7.702599999781513e-06, 8.07480000002414e-06, 2.5524999999859688e-05, 9.003200000456956e-06]","[3.3571563e-05, 2.447436e-05, 6.0037863e-05, 1.4980888e-05]","[2.42174e-06, 1.93991e-06, 1.274713e-05, 1.9345803e-06]","[5.51177e-06, 8.5148495e-06, 3.985733e-05, 1.065589e-05]","[1.183733e-05, 1.475381e-05, 8.05091e-05, 1.703644e-05]","[6.0099496e-06, 9.412231e-06, 4.426837e-05, 1.15661205e-05]","[1.209857e-05, 1.490772e-05, 8.079417e-05, 1.738731e-05]","[6.72632e-06, 7.4652003e-06, 2.3216431e-05, 7.92866e-06]"
sat_php_225_920_5668.cnf,"[2.7826899999894293e-05, 2.7550499999762224e-05, 9.350490000006317e-05, 4.632169999982949e-05]","[0.0002528241, 0.00011700371, 0.00018966002, 7.024252e-05]","[2.70664e-06, 2.38494e-06, 1.9946772e-05, 2.4351998e-06]","[2.84267e-06, 2.3770801e-06, 2.1296732e-05, 2.39801e-06]","[4.847358e-05, 4.644379e-05, 0.00025556135, 5.7383713e-05]","[2.7965498e-06, 2.5628e-06, 2.111726e-05, 2.36415e-06]","[5.2644424e-05, 4.5830184e-05, 0.00025663406, 5.7997902e-05]",
unsat_dominating_80_1809_31472.cnf,"[3.745019999996657e-05, 3.308219999986761e-05, 0.00018890059999989716, 5.287150000050644e-05]","[0.000406843, 0.00019305029, 0.0004709445, 0.0001029828]","[3.0631204e-06, 2.5737502e-06, 1.589505e-05, 2.53111e-06]","[3.25485e-06, 2.9111202e-06, 2.1131918e-05, 2.7683702e-06]","[6.7762136e-05, 9.7739e-05, 0.00037485207, 0.0001090519]","[3.3327196e-06, 2.6676103e-06, 2.088596e-05, 2.6576201e-06]","[5.150344e-05, 8.049796e-05, 0.00034602598, 8.9276306e-05]","[1.1980968e-05, 2.6990081e-05, 3.078863e-05, 7.698065e-05]"
unsat_php_94_857_1462.cnf,"[0.0001851017999999982, 0.00013188020000072244, 0.0009742250999998703, 0.00016028969999943855]","[0.00020723995, 9.693519e-05, 0.00023468005, 5.8207886e-05]","[2.6183302e-06, 2.2545598e-06, 1.5272639e-05, 2.3104299e-06]","[2.8861e-06, 2.4319002e-06, 2.1828859e-05, 2.41064e-06]","[2.260182e-05, 3.268306e-05, 0.00019336541, 4.219871e-05]","[2.8731401e-06, 2.49883e-06, 2.1413089e-05, 2.44104e-06]","[2.2590959e-05, 3.291644e-05, 0.0001929776, 4.2248652e-05]","[9.055098e-06, 1.651883e-05, 3.0512258e-05, 4.8460548e-05]"
unsat_tseitin_40_266_90515.cnf,"[0.2740457537000001, 0.24885495910000088, 1.0715797217000014, 0.08323819080000021]","[9.3292256e-05, 8.3844076e-05, 0.00033772242, 9.399945e-05]","[1.3486091e-05, 1.977093e-05, 5.217638e-05, 1.499778e-05]","[1.3711379e-05, 3.325068e-05, 0.00011951141, 3.4585362e-05]","[3.236627e-05, 5.116863e-05, 0.00030150174, 5.937338e-05]","[1.3395182e-05, 3.364076e-05, 0.00011882601, 3.481318e-05]","[4.2156556e-05, 5.1409133e-05, 0.0003054641, 5.9060974e-05]","[4.4394248e-05, 3.749532e-05, 0.00015130249, 3.48653e-05]"
unsat_tiling_20_782_63634.cnf,"[2.4933200000276655e-05, 3.0611399998292656e-05, 8.219950000096788e-05, 2.0423200001573606e-05]","[0.00018435005, 9.0175534e-05, 0.0002699309, 5.505658e-05]","[2.41895e-06, 2.23353e-06, 1.283062e-05, 2.03646e-06]","[2.6461998e-06, 2.3520201e-06, 2.144345e-05, 2.3530101e-06]","[4.524312e-05, 4.276826e-05, 0.0002450706, 5.444309e-05]","[2.7508202e-06, 2.41207e-06, 2.1478289e-05, 2.3561402e-06]","[6.086153e-05, 5.3405907e-05, 0.00029211666, 6.729011e-05]","[7.974059e-06, 1.47580895e-05, 2.6298378e-05, 2.335071e-05]"
unsat_5clique_65_1955_30435.cnf,"[5.616970000019705e-05, 9.582790000024488e-05, 0.0005441364000006388, 0.00012549959999859085]","[0.00042979224, 0.0002005557, 0.0004994993, 0.000105497485]","[0.06702992, 0.06367606, 0.27476025, 0.08438043]","[3.38201e-06, 2.7996502e-06, 2.122542e-05, 2.7648102e-06]","[5.82749e-05, 0.00012983754, 0.00041731246, 0.00014522541]","[3.3886797e-06, 2.8510299e-06, 2.128194e-05, 2.78713e-06]","[5.395001e-05, 0.0001301243, 0.00041504522, 0.00014602431]",
