Instance,W2SAT
unsat_5clique_65_1825_50315.cnf,
sat_php_229_953_65845.cnf,
unsat_dominating_80_1810_98166.cnf,
unsat_tiling_20_102_21063.cnf,"[6.72632e-06, 7.4652003e-06, 2.3216431e-05, 7.92866e-06]"
sat_php_225_920_5668.cnf,
unsat_dominating_80_1809_31472.cnf,"[1.1980968e-05, 2.6990081e-05, 3.078863e-05, 7.698065e-05]"
unsat_php_94_857_1462.cnf,"[9.055098e-06, 1.651883e-05, 3.0512258e-05, 4.8460548e-05]"
unsat_tseitin_40_266_90515.cnf,"[4.4394248e-05, 3.749532e-05, 0.00015130249, 3.48653e-05]"
unsat_tiling_20_782_63634.cnf,"[7.974059e-06, 1.47580895e-05, 2.6298378e-05, 2.335071e-05]"
unsat_5clique_65_1955_30435.cnf,
unsat_matching_80_356_51040.cnf,"[7.78319e-06, 1.132693e-05, 2.869299e-05, 2.290648e-05]"
unsat_cliquecoloring_27_131.cnf,"[1.023794e-05, 1.028697e-05, 3.277246e-05, 8.34749e-06]"
sat_5color_100_420_10212.cnf,"[7.76314e-06, 1.186522e-05, 3.134239e-05, 2.1619333e-05]"
unsat_matching_80_361_40622.cnf,"[7.60248e-06, 1.1643069e-05, 2.898386e-05, 2.203957e-05]"
unsat_4clique_32_452_22842.cnf,"[7.751029e-06, 1.159871e-05, 2.5418942e-05, 2.6043732e-05]"
sat_matching_160_1285_40622.cnf,"[8.85186e-06, 2.15982e-05, 3.841494e-05, 6.9408175e-05]"
unsat_cliquecoloring_30_118.cnf,"[8.3432105e-06, 8.688809e-06, 2.961909e-05, 8.2057495e-06]"
unsat_matching_40_111_28630.cnf,"[6.6600596e-06, 8.086349e-06, 2.6041791e-05, 9.3442895e-06]"
unsat_4clique_52_1174_65351.cnf,
sat_dominating_70_1295_52087.cnf,"[1.0588271e-05, 2.0932079e-05, 3.101742e-05, 5.1185558e-05]"
unsat_tiling_10_47_90497.cnf,"[5.20415e-06, 6.75743e-06, 2.1273521e-05, 5.41635e-06]"
unsat_5clique_65_1825_12867.cnf,
unsat_op_90_775_81162.cnf,"[1.6531889e-05, 1.807549e-05, 3.7488502e-05, 3.4758243e-05]"
