,Original,MAE_9,MAE_99,MSE_9,MSE_99
unsat_matching_60_247_80381.cnf,"(120, 436)","(312.3, 0.0)","(306.7, 0.0)","(313.0, 0.0)","(310.1, 0.0)"
unsat_3color_150_800_51520.cnf,"(150, 1500)","(969.6, 0.0)","(981.8, 0.0)","(967.1, 0.0)","(960.9, 0.0)"
sat_dominating_80_1665_27876.cnf,"(190, 3230)","(2622.2, 33.9)","(2634.9, 33.7)","(2629.7, 30.8)","(2626.4, 36.5)"
sat_op_45_249_99728.cnf,"(384, 390)","(415.0, 0.0)","(416.1, 0.0)","(405.4, 0.0)","(406.2, 0.0)"
sat_5color_150_630_30044.cnf,"(150, 1200)","(756.6, 0.0)","(753.4, 0.0)","(744.5, 0.0)","(743.3, 0.0)"
unsat_op_90_775_7648.cnf,"(760, 1530)","(1518.2, 0.4)","(1523.5, 0.4)","(1518.6, 0.5)","(1525.9, 0.2)"
sat_op_10_24_82916.cnf,"(34, 35)","(60.0, 0.0)","(61.1, 0.0)","(61.3, 0.0)","(62.4, 0.0)"
sat_tseitin_20_155_22809.cnf,"(446, 447)","(486.2, 0.0)","(477.7, 0.0)","(481.3, 0.0)","(471.6, 0.0)"
sat_dominating_60_970_47815.cnf,"(150, 1860)","(1271.4, 0.1)","(1274.2, 0.0)","(1246.7, 0.0)","(1263.8, 0.1)"
unsat_op_45_248_57351.cnf,"(368, 370)","(393.9, 0.0)","(397.8, 0.0)","(397.2, 0.0)","(393.6, 0.0)"
sat_op_28_119_92842.cnf,"(179, 184)","(222.6, 0.0)","(228.9, 0.0)","(221.2, 0.0)","(221.8, 0.0)"
sat_4color_200_950_73213.cnf,"(200, 1800)","(1257.9, 0.0)","(1261.9, 0.0)","(1259.8, 0.0)","(1259.3, 0.0)"
sat_dominating_80_1665_28307.cnf,"(190, 3230)","(2622.6, 33.0)","(2632.7, 30.5)","(2608.5, 34.9)","(2620.6, 38.6)"
sat_op_45_249_76351.cnf,"(376, 380)","(400.0, 0.0)","(405.2, 0.0)","(397.3, 0.0)","(399.4, 0.0)"
sat_php_221_890_78228.cnf,"(221, 1760)","(1251.3, 0.0)","(1245.3, 0.0)","(1251.4, 0.0)","(1255.9, 0.2)"
sat_subsetcard_16_120_64659.cnf,"(16, 560)","(318.7, 0.0)","(318.8, 0.0)","(319.4, 0.0)","(322.0, 0.0)"
sat_tseitin_20_98_3748.cnf,"(222, 222)","(258.1, 0.0)","(257.0, 0.0)","(259.5, 0.0)","(255.1, 0.0)"
unsat_subsetcard_47_623_34049.cnf,"(2890, 270)","(2353.6, 19.6)","(2359.6, 18.1)","(2362.0, 18.4)","(2361.2, 18.0)"
