Instance,Original clu. VIG,Original clu. LIG,Original mod. VIG,Original mod. LIG,Original mod. VCG,Original mod. LCG,EGNN2S clu. VIG,EGNN2S clu. LIG,EGNN2S mod. VIG,EGNN2S mod. LIG,EGNN2S mod. VCG,EGNN2S mod. LCG,G2SAT clu. VIG,G2SAT clu. LIG,G2SAT mod. VIG,G2SAT mod. LIG,G2SAT mod. VCG,G2SAT mod. LCG,W2SAT clu. VIG,W2SAT clu. LIG,W2SAT mod. VIG,W2SAT mod. LIG,W2SAT mod. VCG,W2SAT mod. LCG,Allo-GWAE2SAT clu. VIG,Allo-GWAE2SAT clu. LIG,Allo-GWAE2SAT mod. VIG,Allo-GWAE2SAT mod. LIG,Allo-GWAE2SAT mod. VCG,Allo-GWAE2SAT mod. LCG,Auto-GWAE2SAT clu. VIG,Auto-GWAE2SAT clu. LIG,Auto-GWAE2SAT mod. VIG,Auto-GWAE2SAT mod. LIG,Auto-GWAE2SAT mod. VCG,Auto-GWAE2SAT mod. LCG
unsat_tiling_20_102_21063.cnf,0.6768434343434344,0.6768434343434344,0.24546101815592725,0.5780526877892488,0.5162228954081632,0.5539423676325684,"(0.89104474, 0.008436055)","(0.83466244, 0.019201359)","(0.5137617, 0.013046431)","(0.47133946, 0.036189195)","(0.5297054, 0.016835432)","(0.5037713, 0.013369812)","(0.62928575, 0.027664386)","(0.59924996, 0.044166584)","(0.5778146, 0.03438047)","(0.8243125, 0.018577017)","(0.68269175, 0.007837588)","(0.6638783, 0.023388892)","(0.6713314, 0.043704133)","(0.57218343, 0.01960393)","(0.24029961, 0.025428649)","(0.5773541, 0.010859233)","(0.4872314, 0.008029985)","(0.56502426, 0.008395279)","(0.05851671, 0.17233333)","(0.03637249, 0.1078604)","(0.85918504, 0.05366358)","(0.8757167, 0.05059775)","(0.98074037, 0.030452995)","(0.934363, 0.06302831)","(0.06727063, 0.18037388)","(0.042726412, 0.11888173)","(0.88875186, 0.0441715)","(0.8993511, 0.024782458)","(0.9745719, 0.045555353)","(0.91627234, 0.07265541)"
unsat_tseitin_40_266_90515.cnf,0.4899549062049061,0.4688207638594634,0.427984693877551,0.4305151898239258,0.6071615258996979,0.5355096741891177,"(0.73057926, 0.004057293)","(0.73093534, 0.0074826996)","(0.15553674, 0.00522668)","(0.1882979, 0.0069024498)","(0.2342833, 0.0061257575)","(0.2562951, 0.011323166)","(0.8526038, 0.02316878)","(0.8669447, 0.024964964)","(0.6046618, 0.023361241)","(0.77992165, 0.017924711)","(0.62812436, 0.0038047887)","(0.69400656, 0.00311757)","(0.530711, 0.037261747)","(0.45551547, 0.034595378)","(0.3890976, 0.02575894)","(0.43476802, 0.017196454)","(0.6104728, 0.009380266)","(0.56387424, 0.015727801)","(0.16223474, 0.057453502)","(0.15549216, 0.09629379)","(0.6263282, 0.1470329)","(0.84674674, 0.16990879)","(0.8159467, 0.14265849)","(0.79184616, 0.13719478)","(0.19876614, 0.048465215)","(0.23781812, 0.071202695)","(0.47235113, 0.097182706)","(0.72419703, 0.13073167)","(0.7330682, 0.11742397)","(0.7151073, 0.11164389)"
unsat_tiling_20_782_63634.cnf,0.9753078775369796,0.9753078775369793,0.0,0.5,0.40912968519253234,0.4926417182522532,"(0.89316845, 0.0035474324)","(0.87943316, 0.0037162637)","(0.567552, 0.010966012)","(0.55564576, 0.015375933)","(0.5510942, 0.0059296796)","(0.5545906, 0.006889514)","(0.6182857, 0.0607968)","(0.5871071, 0.03647187)","(0.45829242, 0.01681983)","(0.7646646, 0.01621107)","(0.78108823, 0.004219401)","(0.8177105, 0.0037274393)","(0.9994737, 0.0016643541)","(0.9691758, 0.0044727563)","(0.0, 0.0)","(0.49834552, 0.0013961807)","(0.33334783, 0.0040075486)","(0.47817603, 0.002820862)","(0.15562865, 0.029414808)","(0.12960404, 0.053232014)","(0.52851284, 0.09293577)","(0.63555187, 0.09404589)","(0.76753604, 0.07428827)","(0.6877824, 0.06627202)","(0.18302763, 0.01846084)","(0.1804982, 0.032201946)","(0.4046864, 0.04425283)","(0.5141554, 0.055490203)","(0.68550265, 0.04697619)","(0.62288684, 0.04279281)"
unsat_cliquecoloring_27_131.cnf,0.7324074074074078,0.8745370370370366,0.2431517389966144,0.484733727810651,0.4250180558818666,0.44693974588135854,"(0.77607286, 0.02025681)","(0.7410138, 0.025003524)","(0.5141897, 0.024675844)","(0.49025768, 0.0344823)","(0.45902452, 0.021503545)","(0.44861966, 0.014137254)","(0.8538688, 0.039973885)","(0.6610835, 0.12623155)","(0.34637502, 0.02554432)","(0.50675994, 0.039745703)","(0.58213603, 0.010327003)","(0.49671474, 0.011772246)","(0.66533405, 0.032460276)","(0.51503503, 0.028833408)","(0.19174913, 0.015985548)","(0.47444025, 0.024259048)","(0.44309035, 0.031230027)","(0.4881239, 0.043189354)","(0.06568055, 0.16860193)","(0.041784827, 0.111738324)","(0.8978384, 0.06719689)","(0.9183512, 0.038808152)","(0.97284126, 0.055218574)","(0.9229388, 0.08704941)","(0.08081944, 0.16500019)","(0.05350564, 0.12216385)","(0.9086224, 0.08892446)","(0.9301497, 0.044364482)","(0.96717966, 0.0663841)","(0.9055212, 0.08254662)"
sat_5color_100_420_10212.cnf,0.28587662337662295,0.642938311688312,0.526171875,0.7350347222222222,0.7334345679012346,0.6156037037037038,"(0.62857974, 0.005896409)","(0.5889548, 0.0104862265)","(0.817696, 0.002204098)","(0.7660278, 0.008563026)","(0.51145667, 0.009117953)","(0.49285936, 0.013654477)","(0.6158098, 0.01394509)","(0.44788942, 0.020112593)","(0.71386373, 0.014510142)","(0.77459824, 0.0136073865)","(0.7974111, 0.003515312)","(0.7243966, 0.0060656723)","(0.32266468, 0.015161134)","(0.5591858, 0.014412299)","(0.4965895, 0.017928047)","(0.67286146, 0.01182611)","(0.7002239, 0.004841662)","(0.6409687, 0.00558399)","(0.09787353, 0.09016895)","(0.06250624, 0.07041885)","(0.8558011, 0.14236176)","(0.8943597, 0.12571447)","(0.92916507, 0.096586555)","(0.7927548, 0.098298036)","(0.14327778, 0.07142801)","(0.0978661, 0.061410997)","(0.75251937, 0.11488834)","(0.83298063, 0.11340409)","(0.87902576, 0.081873246)","(0.7338423, 0.0737897)"
unsat_matching_80_361_40622.cnf,0.5177123570873572,0.5177123570873573,0.4917200339493075,0.5968592068207245,0.6714793569466103,0.6144478442453503,"(0.77279013, 0.008057997)","(0.67763376, 0.005183013)","(0.8942602, 0.0015985332)","(0.802837, 0.0071289307)","(0.53118783, 0.011922748)","(0.5118885, 0.004255077)","(0.81930625, 0.024094764)","(0.6004653, 0.028941017)","(0.86028975, 0.0031739143)","(0.9214083, 0.0033880072)","(0.8915389, 0.0006101266)","(0.8076469, 0.01024228)","(0.40168887, 0.0157959)","(0.35744435, 0.019525003)","(0.38066858, 0.013001915)","(0.5621553, 0.008345941)","(0.61093104, 0.007939254)","(0.58952254, 0.009998237)","(0.10875944, 0.10236162)","(0.07506123, 0.09356328)","(0.8748681, 0.13613668)","(0.92397594, 0.10399308)","(0.93966734, 0.09328241)","(0.8519741, 0.100128524)","(0.14397676, 0.07504462)","(0.10207306, 0.08149124)","(0.8147467, 0.12932473)","(0.8960782, 0.10319963)","(0.91047096, 0.08319569)","(0.8110534, 0.09083835)"
unsat_4clique_32_452_22842.cnf,0.9083792930692265,0.9541896465346129,0.01909030213647958,0.34999999999999987,0.4567572086801428,0.4607296466260405,"(0.8072052, 0.009634817)","(0.78538907, 0.010925191)","(0.653057, 0.01416803)","(0.6471295, 0.013790091)","(0.5157682, 0.011724806)","(0.5158086, 0.011969139)","(0.81383294, 0.033228204)","(0.65488636, 0.077357836)","(0.48077655, 0.01672291)","(0.6632334, 0.025210727)","(0.768535, 0.0030172123)","(0.76527894, 0.002855996)","(0.88800335, 0.009952284)","(0.72256577, 0.012653883)","(0.021207344, 0.0036533647)","(0.388989, 0.00883266)","(0.42075467, 0.0023745215)","(0.4955772, 0.0044325017)","(0.10871847, 0.08514901)","(0.060875736, 0.05566141)","(0.83674204, 0.14430176)","(0.85577315, 0.13658462)","(0.91932744, 0.09328466)","(0.7109742, 0.082505494)","(0.17318562, 0.06293887)","(0.098642096, 0.04346565)","(0.73538864, 0.106908835)","(0.76668525, 0.10982907)","(0.8664896, 0.07584059)","(0.6583028, 0.06054309)"
unsat_cliquecoloring_30_118.cnf,0.6920581052933997,0.8564865689865687,0.35658402203856754,0.6718476510537001,0.5142166666666667,0.5152301698121706,"(0.70152533, 0.028911417)","(0.6690619, 0.025439715)","(0.6539308, 0.026193615)","(0.6435505, 0.026914682)","(0.47171098, 0.01664454)","(0.45717788, 0.010407006)","(0.7786544, 0.02776086)","(0.6431625, 0.06375399)","(0.52203995, 0.0012258324)","(0.67112, 0.01052566)","(0.6251583, 0.008161509)","(0.54690284, 0.009926416)","(0.60260886, 0.020220943)","(0.54227436, 0.030292785)","(0.3160667, 0.013703619)","(0.6335979, 0.0091513535)","(0.4896988, 0.008808748)","(0.56468403, 0.019280413)","(0.070207395, 0.17780274)","(0.047158267, 0.12629259)","(0.8822788, 0.07444678)","(0.89896286, 0.04782572)","(0.970636, 0.062508345)","(0.915383, 0.091606826)","(0.07825674, 0.18299751)","(0.0462844, 0.11341025)","(0.90459836, 0.0725925)","(0.9188444, 0.047001965)","(0.97223127, 0.05307972)","(0.8995444, 0.081979975)"
unsat_matching_40_111_28630.cnf,0.48480158730158723,0.4848015873015871,0.5841625906560971,0.7140748861528083,0.6955128205128206,0.6622138822829965,"(0.78204286, 0.010829665)","(0.62601316, 0.024861483)","(0.833742, 0.0094967885)","(0.70029265, 0.02338387)","(0.5225988, 0.013381554)","(0.50463814, 0.008956649)","(0.63629365, 0.051148143)","(0.468381, 0.045339808)","(0.7340165, 0.024391253)","(0.8786022, 0.00895922)","(0.820039, 0.0046441383)","(0.71978873, 0.013925368)","(0.43256396, 0.0326174)","(0.3788158, 0.03850208)","(0.5320443, 0.018687919)","(0.6814616, 0.024064554)","(0.69906473, 0.014442948)","(0.6137676, 0.014607309)","(0.05024767, 0.15357913)","(0.03136571, 0.09652036)","(0.87069833, 0.047595255)","(0.88785565, 0.034962565)","(0.97903126, 0.037251607)","(0.9453312, 0.07150611)","(0.0673686, 0.16334456)","(0.041014817, 0.10236041)","(0.8793176, 0.044792313)","(0.90198517, 0.015416622)","(0.977328, 0.037196677)","(0.9384079, 0.06256111)"
unsat_4clique_52_1174_65351.cnf,0.8920515289952626,0.9460257644976312,0.031528599605522706,0.3656509695290858,0.4719728386707082,0.475152833458798,"(0.7337338, 0.0030944657)","(0.7259636, 0.003666674)","(0.70985866, 0.0058540353)","(0.705058, 0.0074771536)","(0.5163574, 0.0059577283)","(0.51603556, 0.0058645625)","(0.7575637, 0.037407346)","(0.6795948, 0.039005473)","(0.6540497, 0.02439294)","(0.85526484, 0.004752869)","(0.8565308, 0.0011492404)","(0.8441225, 0.0028633643)",,,,,,,"(0.1503452, 0.017812612)","(0.097401895, 0.020713253)","(0.36170754, 0.0475178)","(0.39167613, 0.0488014)","(0.6586751, 0.044455715)","(0.55788743, 0.037551932)","(0.16641632, 0.011947191)","(0.122724965, 0.013608497)","(0.27338558, 0.018393701)","(0.2972469, 0.024021072)","(0.5865034, 0.024224633)","(0.51077545, 0.021543087)"
