tsne_1,tsne_2,comp_name,cnf_name
-19.798643,-1.2580835,original,unsat_tiling_20_102_21063.cnf
-17.85663,1.7514486,egnn2s,unsat_tiling_20_102_21063.cnf
-19.831932,-1.4257412,g2sat,unsat_tiling_20_102_21063.cnf
-19.434496,-1.1474167,w2sat,unsat_tiling_20_102_21063.cnf
-11.69734,10.883476,gwae2sat_allo,unsat_tiling_20_102_21063.cnf
-11.639214,10.816722,gwae2sat_auto,unsat_tiling_20_102_21063.cnf
-5.3127537,-15.252545,original,unsat_tseitin_40_266_90515.cnf
-0.49378556,11.580561,egnn2s,unsat_tseitin_40_266_90515.cnf
-3.699807,-14.775956,g2sat,unsat_tseitin_40_266_90515.cnf
-5.4335895,-15.402459,w2sat,unsat_tseitin_40_266_90515.cnf
10.460836,0.0737288,gwae2sat_allo,unsat_tseitin_40_266_90515.cnf
10.601995,-0.54844797,gwae2sat_auto,unsat_tseitin_40_266_90515.cnf
11.238444,-6.64024,original,unsat_tiling_20_782_63634.cnf
10.012732,7.1727424,egnn2s,unsat_tiling_20_782_63634.cnf
11.395533,-6.5105095,g2sat,unsat_tiling_20_782_63634.cnf
11.238326,-6.6403317,w2sat,unsat_tiling_20_782_63634.cnf
11.118413,-0.23760661,gwae2sat_allo,unsat_tiling_20_782_63634.cnf
11.164429,-1.0327979,gwae2sat_auto,unsat_tiling_20_782_63634.cnf
-18.2424,-2.6878326,original,unsat_cliquecoloring_27_131.cnf
-11.92505,10.496773,egnn2s,unsat_cliquecoloring_27_131.cnf
-19.230078,-2.2192883,g2sat,unsat_cliquecoloring_27_131.cnf
-18.261595,-2.6961908,w2sat,unsat_cliquecoloring_27_131.cnf
-8.781925,12.670448,gwae2sat_allo,unsat_cliquecoloring_27_131.cnf
-9.064883,12.301568,gwae2sat_auto,unsat_cliquecoloring_27_131.cnf
3.285949,-11.560811,original,sat_5color_100_420_10212.cnf
7.6906667,9.327078,egnn2s,sat_5color_100_420_10212.cnf
4.5602913,-11.070834,g2sat,sat_5color_100_420_10212.cnf
3.2847443,-11.561248,w2sat,sat_5color_100_420_10212.cnf
3.1458986,14.339769,gwae2sat_allo,sat_5color_100_420_10212.cnf
4.1219645,14.726026,gwae2sat_auto,sat_5color_100_420_10212.cnf
-1.8434659,-14.302967,original,unsat_matching_80_361_40622.cnf
7.1874113,9.647589,egnn2s,unsat_matching_80_361_40622.cnf
1.7302694,-13.061429,g2sat,unsat_matching_80_361_40622.cnf
0.63887477,-13.400986,w2sat,unsat_matching_80_361_40622.cnf
3.497727,14.088277,gwae2sat_allo,unsat_matching_80_361_40622.cnf
3.696323,14.878479,gwae2sat_auto,unsat_matching_80_361_40622.cnf
4.8178945,-13.288316,original,unsat_4clique_32_452_22842.cnf
6.7870355,9.943409,egnn2s,unsat_4clique_32_452_22842.cnf
4.178017,-13.647884,g2sat,unsat_4clique_32_452_22842.cnf
4.816399,-13.286478,w2sat,unsat_4clique_32_452_22842.cnf
-1.6482239,14.705609,gwae2sat_allo,unsat_4clique_32_452_22842.cnf
2.740355,14.898687,gwae2sat_auto,unsat_4clique_32_452_22842.cnf
-18.41176,-1.6166663,original,unsat_cliquecoloring_30_118.cnf
-12.194864,10.386879,egnn2s,unsat_cliquecoloring_30_118.cnf
-18.954672,-1.6688386,g2sat,unsat_cliquecoloring_30_118.cnf
-18.411253,-1.6128585,w2sat,unsat_cliquecoloring_30_118.cnf
-10.387092,11.834726,gwae2sat_allo,unsat_cliquecoloring_30_118.cnf
-10.092156,11.849349,gwae2sat_auto,unsat_cliquecoloring_30_118.cnf
-18.66902,-0.8028331,original,unsat_matching_40_111_28630.cnf
-12.366947,10.522108,egnn2s,unsat_matching_40_111_28630.cnf
-18.06176,-1.3334224,g2sat,unsat_matching_40_111_28630.cnf
-18.275114,-0.99270356,w2sat,unsat_matching_40_111_28630.cnf
-11.045331,11.199841,gwae2sat_allo,unsat_matching_40_111_28630.cnf
-11.399041,10.854106,gwae2sat_auto,unsat_matching_40_111_28630.cnf
17.01359,-4.725314,original,unsat_4clique_52_1174_65351.cnf
12.105597,6.4708185,egnn2s,unsat_4clique_52_1174_65351.cnf
17.570107,-4.699381,g2sat,unsat_4clique_52_1174_65351.cnf
11.672024,-1.5988985,gwae2sat_allo,unsat_4clique_52_1174_65351.cnf
12.373861,-2.2596827,gwae2sat_auto,unsat_4clique_52_1174_65351.cnf
-21.417456,0.24564882,original,unsat_tiling_10_47_90497.cnf
-21.071426,0.5457304,egnn2s,unsat_tiling_10_47_90497.cnf
-21.53607,0.3014708,g2sat,unsat_tiling_10_47_90497.cnf
-21.334076,0.26298654,w2sat,unsat_tiling_10_47_90497.cnf
-18.373732,1.3399124,gwae2sat_allo,unsat_tiling_10_47_90497.cnf
-18.39971,1.3315479,gwae2sat_auto,unsat_tiling_10_47_90497.cnf
-8.463427,-15.754073,original,unsat_tiling_20_231_52499.cnf
-6.6333313,12.7847595,egnn2s,unsat_tiling_20_231_52499.cnf
-8.713756,-15.879432,g2sat,unsat_tiling_20_231_52499.cnf
-8.462847,-15.753525,w2sat,unsat_tiling_20_231_52499.cnf
-3.7349582,14.045623,gwae2sat_allo,unsat_tiling_20_231_52499.cnf
-3.7998555,14.7044,gwae2sat_auto,unsat_tiling_20_231_52499.cnf
4.380528,-12.320658,original,unsat_cliquecoloring_62_446.cnf
8.048246,8.669649,egnn2s,unsat_cliquecoloring_62_446.cnf
5.141993,-12.220369,g2sat,unsat_cliquecoloring_62_446.cnf
4.379345,-12.321262,w2sat,unsat_cliquecoloring_62_446.cnf
9.087252,1.8357671,gwae2sat_allo,unsat_cliquecoloring_62_446.cnf
9.284691,1.4844991,gwae2sat_auto,unsat_cliquecoloring_62_446.cnf
-8.214501,-13.585751,original,unsat_matching_60_259_93884.cnf
-0.99554527,11.741691,egnn2s,unsat_matching_60_259_93884.cnf
-4.53951,-14.440122,g2sat,unsat_matching_60_259_93884.cnf
-5.3529587,-13.958187,w2sat,unsat_matching_60_259_93884.cnf
-2.2918677,14.454661,gwae2sat_allo,unsat_matching_60_259_93884.cnf
-2.7004244,14.771069,gwae2sat_auto,unsat_matching_60_259_93884.cnf
-19.478136,-0.9726667,original,unsat_tseitin_20_100_94365.cnf
-12.731541,9.89072,egnn2s,unsat_tseitin_20_100_94365.cnf
-19.434927,-1.8205751,g2sat,unsat_tseitin_20_100_94365.cnf
-19.476664,-0.97354573,w2sat,unsat_tseitin_20_100_94365.cnf
-3.979083,14.17222,gwae2sat_allo,unsat_tseitin_20_100_94365.cnf
-4.291184,14.791457,gwae2sat_auto,unsat_tseitin_20_100_94365.cnf
19.857845,-4.441649,original,sat_subsetcard_64_1792_25143.cnf
13.308759,5.7596726,egnn2s,sat_subsetcard_64_1792_25143.cnf
20.194572,-4.311994,g2sat,sat_subsetcard_64_1792_25143.cnf
19.857761,-4.4416385,w2sat,sat_subsetcard_64_1792_25143.cnf
20.62161,-4.1819806,gwae2sat_allo,sat_subsetcard_64_1792_25143.cnf
19.464708,-3.9733672,gwae2sat_auto,sat_subsetcard_64_1792_25143.cnf
-8.405628,-16.624813,original,sat_tiling_10_236_77445.cnf
-8.949348,-16.445438,egnn2s,sat_tiling_10_236_77445.cnf
-8.542942,-16.851511,g2sat,sat_tiling_10_236_77445.cnf
-8.40423,-16.622267,w2sat,sat_tiling_10_236_77445.cnf
-4.9791965,13.360963,gwae2sat_allo,sat_tiling_10_236_77445.cnf
-4.690484,13.821001,gwae2sat_auto,sat_tiling_10_236_77445.cnf
0.6887809,-13.994647,original,unsat_cliquecoloring_50_356.cnf
6.575591,10.23949,egnn2s,unsat_cliquecoloring_50_356.cnf
0.89072317,-14.136314,g2sat,unsat_cliquecoloring_50_356.cnf
0.6871014,-13.991919,w2sat,unsat_cliquecoloring_50_356.cnf
5.1376634,13.923723,gwae2sat_allo,unsat_cliquecoloring_50_356.cnf
5.5333343,14.327195,gwae2sat_auto,unsat_cliquecoloring_50_356.cnf
17.835348,-4.5638943,original,sat_dominating_70_1295_25518.cnf
12.487278,6.25383,egnn2s,sat_dominating_70_1295_25518.cnf
18.407501,-4.483688,g2sat,sat_dominating_70_1295_25518.cnf
17.835388,-4.563828,w2sat,sat_dominating_70_1295_25518.cnf
15.122742,-3.1254299,gwae2sat_allo,sat_dominating_70_1295_25518.cnf
15.446023,-3.3570435,gwae2sat_auto,sat_dominating_70_1295_25518.cnf
-19.906137,-0.3878787,original,unsat_matching_40_184_2153.cnf
-9.4850645,11.92477,egnn2s,unsat_matching_40_184_2153.cnf
-10.37671,-13.061955,g2sat,unsat_matching_40_184_2153.cnf
-10.775306,-12.681363,w2sat,unsat_matching_40_184_2153.cnf
-6.527735,13.496275,gwae2sat_allo,unsat_matching_40_184_2153.cnf
-8.087,12.941897,gwae2sat_auto,unsat_matching_40_184_2153.cnf
14.389272,-2.934536,original,sat_php_224_908_8740.cnf
12.06507,6.4961534,egnn2s,sat_php_224_908_8740.cnf
15.346961,-3.4031036,g2sat,sat_php_224_908_8740.cnf
12.571092,-1.4697418,gwae2sat_allo,sat_php_224_908_8740.cnf
12.998298,-2.0382311,gwae2sat_auto,sat_php_224_908_8740.cnf
