Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_tiling_20_102_21063.cnf,"(1.5057150000097331e-05, 7.789330015346328e-06)","(3.0427268625e-05, 1.5687865534016235e-05)","(5.525065225e-06, 5.497852983593622e-06)","(1.1209950375e-05, 6.9850736052621644e-06)","(8.03855495e-06, 7.805417071396154e-06)","(5.969905e-06, 6.386211166844156e-06)"
unsat_tseitin_40_266_90515.cnf,"(0.42212390212499995, 0.38619980644549823)","(0.00014509752125, 6.789664126243989e-05)","(2.4937514874999998e-05, 1.5801981442868527e-05)","(7.115291375000001e-05, 6.859878177744361e-05)","(1.1086107525e-05, 1.0446948390310432e-05)","(1.10041752e-05, 1.0402534979984015e-05)"
unsat_tiling_20_782_63634.cnf,"(4.056887500007989e-05, 2.568126412004887e-05)","(0.0001349966825, 6.224857904563523e-05)","(5.076460125e-06, 4.8533612016884796e-06)","(1.8058572499999998e-05, 7.18862838514478e-06)","(6.7726130249999995e-06, 7.408756704497715e-06)","(6.69993e-06, 7.323723071372238e-06)"
unsat_cliquecoloring_27_131.cnf,"(5.802184999987858e-05, 5.7926318077625546e-05)","(3.5977385499999996e-05, 1.526955198235892e-05)","(4.937424825e-06, 4.945001966379264e-06)","(1.2944196999999999e-05, 7.354327209116209e-06)","(6.109985525000001e-06, 6.742858192823944e-06)","(1.223262505e-05, 1.730436845746676e-05)"
sat_5color_100_420_10212.cnf,"(2.6411274999826874e-05, 1.5828085785702704e-05)","(7.586218825e-05, 3.252022378269095e-05)","(5.653077549999999e-06, 5.836525150955917e-06)","(1.800792475e-05, 9.385828425923717e-06)","(6.572916975e-06, 7.41038354862357e-06)","(6.4471625e-06, 7.203149579955892e-06)"
unsat_matching_80_361_40622.cnf,"(0.0010425071499996718, 0.0008341016621342016)","(6.93123775e-05, 3.292987775080358e-05)","(5.37270005e-06, 5.5327764295616546e-06)","(1.7310555e-05, 8.335349847446417e-06)","(6.57527985e-06, 7.356613319455701e-06)","(6.437327124999999e-06, 7.167892040549509e-06)"
unsat_4clique_32_452_22842.cnf,"(7.676214999916554e-05, 6.714261335433319e-05)","(8.70321945e-05, 4.731584323163121e-05)","(5.0899975e-06, 5.080375783302722e-06)","(1.729277275e-05, 7.516153599386637e-06)","(9.79884185e-06, 8.99642099527727e-06)","(6.5524350750000004e-06, 7.303619013555798e-06)"
unsat_cliquecoloring_30_118.cnf,"(5.6664400000450146e-05, 5.67871573829864e-05)","(3.3066863250000005e-05, 1.3836579390080725e-05)","(4.8155071e-06, 4.662354855708289e-06)","(1.2533047574999999e-05, 7.603780172717721e-06)","(5.996425e-06, 6.5229822060178115e-06)","(6.0798649750000005e-06, 6.708756022897745e-06)"
unsat_matching_40_111_28630.cnf,"(5.118099999723569e-06, 4.98727667265372e-06)","(3.24023765e-05, 1.4911752062835046e-05)","(4.9760947e-06, 4.947431837650841e-06)","(1.279126715e-05, 8.145676302851836e-06)","(6.120092525e-06, 6.590548145288837e-06)","(5.9793325e-06, 6.375995873917952e-06)"
unsat_4clique_52_1174_65351.cnf,"(0.00023939147499998367, 0.00021492872353396972)","(0.00020792031749999998, 0.00011270825924154546)","(5.5479552e-06, 5.4078685638042475e-06)",,"(6.9446250499999996e-06, 7.517699032815195e-06)","(7.229637549999999e-06, 7.791244052538978e-06)"
