Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
unsat_tiling_20_102_21063.cnf,"[1.2198300000143546e-05, 9.888499999988198e-06, 2.8440700000142983e-05, 9.701100000114593e-06]","[3.169418e-05, 2.137553e-05, 5.5183475e-05, 1.34558895e-05]","[2.7407702e-06, 2.32131e-06, 1.50367905e-05, 2.0013902e-06]","[6.02398e-06, 8.013971e-06, 2.324082e-05, 7.5610305e-06]","[3.14327e-06, 3.4283798e-06, 2.154639e-05, 4.03618e-06]","[2.4535e-06, 2.20617e-06, 1.702967e-05, 2.19028e-06]"
unsat_tseitin_40_266_90515.cnf,"[0.27555720029999986, 0.2505333309000001, 1.0787284246999997, 0.08367665260000016]","[0.0001451273, 8.4742045e-05, 0.00025581295, 9.470779e-05]","[1.33125695e-05, 1.96595e-05, 5.200295e-05, 1.477504e-05]","[3.6034984e-05, 2.9959361e-05, 0.00018987314, 2.874417e-05]","[3.8020803e-06, 5.5281603e-06, 2.9129249e-05, 5.8849405e-06]","[3.84882e-06, 5.4704205e-06, 2.897892e-05, 5.7185403e-06]"
unsat_tiling_20_782_63634.cnf,"[2.6955500000269695e-05, 3.0452300001115874e-05, 8.459659999964231e-05, 2.0271099999291663e-05]","[0.00018501973, 9.0383706e-05, 0.00020642762, 5.8155674e-05]","[2.44994e-06, 2.1909e-06, 1.34806805e-05, 2.18432e-06]","[7.907189e-06, 1.5010371e-05, 2.656216e-05, 2.275457e-05]","[2.64589e-06, 2.3744701e-06, 1.9603842e-05, 2.46625e-06]","[2.6037e-06, 2.3933e-06, 1.938421e-05, 2.41851e-06]"
unsat_cliquecoloring_27_131.cnf,"[2.945790000019599e-05, 2.090259999967259e-05, 0.00015820939999997564, 2.351749999967012e-05]","[4.7894857e-05, 2.713562e-05, 5.3250486e-05, 1.5628579e-05]","[2.31969e-06, 1.96486e-06, 1.34987595e-05, 1.9663898e-06]","[9.29659e-06, 8.71173e-06, 2.5661418e-05, 8.10705e-06]","[2.37482e-06, 2.12454e-06, 1.7787752e-05, 2.1528301e-06]","[2.41515e-06, 2.1370802e-06, 4.22041e-05, 2.17417e-06]"
sat_5color_100_420_10212.cnf,"[9.97840000032113e-06, 1.7859799999087046e-05, 5.207230000010554e-05, 2.5734599999793774e-05]","[0.00011184461, 5.5536606e-05, 0.00010267354, 3.3393997e-05]","[2.53376e-06, 2.1795e-06, 1.575875e-05, 2.1403002e-06]","[7.41796e-06, 1.2245519e-05, 3.223896e-05, 2.012926e-05]","[2.40506e-06, 2.2607098e-06, 1.9407518e-05, 2.2183801e-06]","[2.40594e-06, 2.23713e-06, 1.892276e-05, 2.22282e-06]"
unsat_matching_80_361_40622.cnf,"[0.0007792356999985373, 0.0004208467000008653, 0.002468735399999744, 0.0005012107999995408]","[9.938907e-05, 4.955746e-05, 0.00010281267, 2.549031e-05]","[2.34126e-06, 2.11002e-06, 1.495419e-05, 2.0853302e-06]","[7.64449e-06, 1.140466e-05, 2.886196e-05, 2.133111e-05]","[2.48101e-06, 2.3005298e-06, 1.931614e-05, 2.2034396e-06]","[2.4248297e-06, 2.2263698e-06, 1.8851759e-05, 2.24635e-06]"
unsat_4clique_32_452_22842.cnf,"[3.680679999931158e-05, 3.983029999936605e-05, 0.0001930398999984817, 3.737159999950279e-05]","[0.00010999707, 5.3418218e-05, 0.00015252804, 3.218545e-05]","[2.35361e-06, 2.04369e-06, 1.388699e-05, 2.0757e-06]","[8.28062e-06, 1.1451981e-05, 2.512639e-05, 2.43121e-05]","[3.27518e-06, 4.87623e-06, 2.5305728e-05, 5.7382294e-06]","[2.4182402e-06, 2.2348001e-06, 1.920216e-05, 2.35454e-06]"
unsat_cliquecoloring_30_118.cnf,"[2.7998800000617054e-05, 2.1753700000104458e-05, 0.00015492690000051823, 2.1978200000560833e-05]","[4.378023e-05, 2.4101559e-05, 4.9061782e-05, 1.5323882e-05]","[2.3778598e-06, 2.03278e-06, 1.28863885e-05, 1.9650001e-06]","[7.0936903e-06, 8.60266e-06, 2.565413e-05, 8.78171e-06]","[2.4192e-06, 2.12624e-06, 1.729279e-05, 2.14747e-06]","[2.38014e-06, 2.1240098e-06, 1.769832e-05, 2.1169901e-06]"
unsat_matching_40_111_28630.cnf,"[2.5751999995549112e-06, 2.097199999440136e-06, 1.3748999999663169e-05, 2.0510000002360583e-06]","[3.3719047e-05, 2.515739e-05, 5.55859e-05, 1.5147169e-05]","[2.36562e-06, 1.9969598e-06, 1.3541369e-05, 2.00043e-06]","[6.6314506e-06, 8.13985e-06, 2.6781398e-05, 9.61237e-06]","[2.66964e-06, 2.1421201e-06, 1.752913e-05, 2.13948e-06]","[2.6147e-06, 2.13989e-06, 1.701783e-05, 2.14491e-06]"
unsat_4clique_52_1174_65351.cnf,"[0.00011640920000033361, 7.769979999956433e-05, 0.0006086523999996984, 0.00015480450000033842]","[0.0002768743, 0.00012665815, 0.0003543931, 7.375572e-05]","[2.60252e-06, 2.3445598e-06, 1.4912791e-05, 2.33195e-06]",,"[2.72217e-06, 2.53799e-06, 1.996506e-05, 2.5532802e-06]","[2.7871902e-06, 2.75868e-06, 2.072417e-05, 2.64851e-06]"
